,Date,URL,User,R+L,Retweets,Likes
0,2020-02-19 20:34:34,https://twitter.com/minyoruminyon/status/1230093313992118272,HisoNWP,2.0,1.0,1.0
1,2020-02-17 20:34:39,https://twitter.com/minyoruminyon/status/1229368559119130624,HisoNWP,3.0,1.0,2.0
2,2020-02-14 12:56:21,https://twitter.com/minyoruminyon/status/1228166059535945729,HisoNWP,2.0,1.0,1.0
3,2020-02-12 15:18:19,https://twitter.com/minyoruminyon/status/1227477013042270209,HisoNWP,5.0,2.0,3.0
4,2020-02-12 11:54:02,https://twitter.com/minyoruminyon/status/1227425602438758400,HisoNWP,3.0,1.0,2.0
5,2020-02-12 11:45:21,https://twitter.com/minyoruminyon/status/1227423416531083264,HisoNWP,1.0,1.0,0.0
6,2020-02-09 01:11:14,https://twitter.com/minyoruminyon/status/1226176669926318087,HisoNWP,1.0,0.0,1.0
7,2020-02-09 01:10:55,https://twitter.com/minyoruminyon/status/1226176591585103875,HisoNWP,0.0,0.0,0.0
8,2020-02-08 22:26:59,https://twitter.com/minyoruminyon/status/1226135336733958145,HisoNWP,6.0,4.0,2.0
9,2020-02-08 22:15:45,https://twitter.com/minyoruminyon/status/1226132512100872194,HisoNWP,2.0,0.0,2.0
10,2020-02-08 21:41:47,https://twitter.com/minyoruminyon/status/1226123961370415110,HisoNWP,4.0,2.0,2.0
11,2020-02-07 09:47:17,https://twitter.com/minyoruminyon/status/1225581763365261312,HisoNWP,3.0,0.0,3.0
12,2020-02-07 09:46:01,https://twitter.com/minyoruminyon/status/1225581445508300800,HisoNWP,1.0,0.0,1.0
13,2020-02-05 23:51:48,https://twitter.com/minyoruminyon/status/1225069518973616130,HisoNWP,1.0,0.0,1.0
14,2020-02-04 17:01:30,https://twitter.com/minyoruminyon/status/1224603876608757760,HisoNWP,1.0,0.0,1.0
15,2020-02-04 16:57:46,https://twitter.com/minyoruminyon/status/1224602936677847040,HisoNWP,2.0,0.0,2.0
16,2020-02-04 16:56:06,https://twitter.com/minyoruminyon/status/1224602516672761856,HisoNWP,1.0,0.0,1.0
17,2020-02-04 14:45:42,https://twitter.com/minyoruminyon/status/1224569701713367040,HisoNWP,4.0,2.0,2.0
18,2020-02-04 14:16:38,https://twitter.com/minyoruminyon/status/1224562383978262530,HisoNWP,1.0,0.0,1.0
19,2020-02-04 12:33:19,https://twitter.com/minyoruminyon/status/1224536385333280769,HisoNWP,1.0,0.0,1.0
20,2020-02-04 12:18:10,https://twitter.com/minyoruminyon/status/1224532573373657088,HisoNWP,1.0,0.0,1.0
21,2020-02-04 12:10:09,https://twitter.com/minyoruminyon/status/1224530555426836480,HisoNWP,5.0,2.0,3.0
22,2020-02-03 13:52:13,https://twitter.com/minyoruminyon/status/1224193851159535617,HisoNWP,0.0,0.0,0.0
23,2020-02-03 11:32:56,https://twitter.com/minyoruminyon/status/1224158801932111877,HisoNWP,0.0,0.0,0.0
24,2020-02-02 01:03:10,https://twitter.com/minyoruminyon/status/1223637925096607745,HisoNWP,1.0,0.0,1.0
25,2020-02-01 00:02:56,https://twitter.com/minyoruminyon/status/1223260381277126656,HisoNWP,3.0,2.0,1.0
26,2020-01-31 11:25:19,https://twitter.com/minyoruminyon/status/1223069721123180545,HisoNWP,1.0,0.0,1.0
27,2020-01-31 09:12:59,https://twitter.com/minyoruminyon/status/1223036418391298050,HisoNWP,2.0,1.0,1.0
28,2020-01-31 09:00:20,https://twitter.com/minyoruminyon/status/1223033233585012736,HisoNWP,3.0,1.0,2.0
29,2020-01-31 08:52:00,https://twitter.com/minyoruminyon/status/1223031135799693312,HisoNWP,1.0,0.0,1.0
30,2020-01-31 08:47:45,https://twitter.com/minyoruminyon/status/1223030066784894976,HisoNWP,0.0,0.0,0.0
31,2020-01-31 08:46:41,https://twitter.com/minyoruminyon/status/1223029799485984768,HisoNWP,2.0,0.0,2.0
32,2020-01-31 08:43:53,https://twitter.com/minyoruminyon/status/1223029094746664962,HisoNWP,6.0,2.0,4.0
33,2020-01-30 20:28:54,https://twitter.com/minyoruminyon/status/1222844128561483776,HisoNWP,1.0,0.0,1.0
34,2020-01-30 13:33:15,https://twitter.com/minyoruminyon/status/1222739526465904642,HisoNWP,0.0,0.0,0.0
35,2020-01-30 13:23:11,https://twitter.com/minyoruminyon/status/1222736995803230208,HisoNWP,0.0,0.0,0.0
36,2020-01-30 13:19:07,https://twitter.com/minyoruminyon/status/1222735970832805888,HisoNWP,2.0,2.0,0.0
37,2020-01-30 13:17:33,https://twitter.com/minyoruminyon/status/1222735575737749507,HisoNWP,2.0,1.0,1.0
38,2020-01-30 13:15:04,https://twitter.com/minyoruminyon/status/1222734951356911616,HisoNWP,9.0,4.0,5.0
39,2020-01-29 23:34:05,https://twitter.com/minyoruminyon/status/1222528345889333250,HisoNWP,1.0,1.0,0.0
40,2020-01-29 18:41:25,https://twitter.com/minyoruminyon/status/1222454693718192129,HisoNWP,10.0,5.0,5.0
41,2020-01-29 17:03:11,https://twitter.com/minyoruminyon/status/1222429969365663745,HisoNWP,0.0,0.0,0.0
42,2020-01-29 17:01:57,https://twitter.com/minyoruminyon/status/1222429660467748865,HisoNWP,0.0,0.0,0.0
43,2020-01-29 12:22:54,https://twitter.com/minyoruminyon/status/1222359434921275393,HisoNWP,4.0,1.0,3.0
44,2020-01-29 10:01:04,https://twitter.com/minyoruminyon/status/1222323740781842432,HisoNWP,0.0,0.0,0.0
45,2020-01-29 09:49:23,https://twitter.com/minyoruminyon/status/1222320802898382849,HisoNWP,6.0,2.0,4.0
46,2020-01-29 09:45:46,https://twitter.com/minyoruminyon/status/1222319891149017088,HisoNWP,4.0,1.0,3.0
