,Date,URL,User,R+L,Retweets,Likes
0,2019-05-23 22:36:48,https://twitter.com/minyoruminyon/status/1131554574785867776,SAO57is_prime,0.0,0.0,0.0
1,2019-05-23 22:34:26,https://twitter.com/minyoruminyon/status/1131553979471618054,SAO57is_prime,1.0,0.0,1.0
2,2019-05-23 22:19:33,https://twitter.com/minyoruminyon/status/1131550232926334977,SAO57is_prime,1.0,0.0,1.0
3,2019-05-23 20:31:22,https://twitter.com/minyoruminyon/status/1131523007355113473,SAO57is_prime,3.0,0.0,3.0
4,2019-05-23 20:20:19,https://twitter.com/minyoruminyon/status/1131520227441692672,SAO57is_prime,1.0,0.0,1.0
5,2019-05-23 19:58:24,https://twitter.com/minyoruminyon/status/1131514709901897728,SAO57is_prime,3.0,1.0,2.0
6,2019-05-23 19:03:32,https://twitter.com/minyoruminyon/status/1131500902794162177,SAO57is_prime,0.0,0.0,0.0
7,2019-05-23 18:57:33,https://twitter.com/minyoruminyon/status/1131499398670606336,SAO57is_prime,2.0,0.0,2.0
8,2019-05-23 18:56:07,https://twitter.com/minyoruminyon/status/1131499039327866880,SAO57is_prime,0.0,0.0,0.0
9,2019-05-23 18:52:18,https://twitter.com/minyoruminyon/status/1131498079046184960,SAO57is_prime,5.0,0.0,5.0
