,Date,URL,User,R+L,Retweets,Likes
0,2019-08-06 21:16:31,https://twitter.com/minyoruminyon/status/1158713462064730112,asumu12345,5.0,1.0,4.0
1,2019-07-26 21:24:27,https://twitter.com/minyoruminyon/status/1154729189414539264,asumu12345,1.0,1.0,0.0
2,2019-07-25 19:04:52,https://twitter.com/minyoruminyon/status/1154331675075080192,asumu12345,2.0,1.0,1.0
3,2019-07-25 19:03:46,https://twitter.com/minyoruminyon/status/1154331398099988481,asumu12345,4.0,2.0,2.0
4,2019-07-25 19:03:08,https://twitter.com/minyoruminyon/status/1154331237877604352,asumu12345,0.0,0.0,0.0
5,2019-07-24 18:52:40,https://twitter.com/minyoruminyon/status/1153966215309615105,asumu12345,0.0,0.0,0.0
6,2019-07-23 10:44:16,https://twitter.com/minyoruminyon/status/1153480918775894016,asumu12345,3.0,1.0,2.0
7,2019-07-22 08:59:42,https://twitter.com/minyoruminyon/status/1153092216933343232,asumu12345,3.0,1.0,2.0
8,2019-07-21 12:44:10,https://twitter.com/minyoruminyon/status/1152786318981681152,asumu12345,5.0,2.0,3.0
9,2019-07-17 20:56:14,https://twitter.com/minyoruminyon/status/1151460599219412992,asumu12345,3.0,1.0,2.0
10,2019-07-16 21:09:48,https://twitter.com/minyoruminyon/status/1151101623910801410,asumu12345,4.0,0.0,4.0
11,2019-07-15 14:18:09,https://twitter.com/minyoruminyon/status/1150635642105126912,asumu12345,2.0,1.0,1.0
12,2019-07-15 14:15:58,https://twitter.com/minyoruminyon/status/1150635094287142913,asumu12345,6.0,3.0,3.0
13,2019-06-27 10:18:18,https://twitter.com/minyoruminyon/status/1144052301058887680,asumu12345,19.0,10.0,9.0
14,2019-06-27 10:13:10,https://twitter.com/minyoruminyon/status/1144051007145381888,asumu12345,1.0,1.0,0.0
15,2019-06-26 10:07:36,https://twitter.com/minyoruminyon/status/1143687219451838464,asumu12345,2.0,0.0,2.0
16,2019-06-22 14:05:19,https://twitter.com/minyoruminyon/status/1142297493129986053,asumu12345,1.0,1.0,0.0
17,2019-06-22 14:04:02,https://twitter.com/minyoruminyon/status/1142297170575446017,asumu12345,0.0,0.0,0.0
18,2019-06-21 19:15:02,https://twitter.com/minyoruminyon/status/1142013046652465153,asumu12345,1.0,0.0,1.0
19,2019-06-19 15:13:09,https://twitter.com/minyoruminyon/status/1141227400539172864,asumu12345,2.0,1.0,1.0
20,2019-06-19 15:12:26,https://twitter.com/minyoruminyon/status/1141227220473528322,asumu12345,2.0,0.0,2.0
21,2019-06-19 15:11:45,https://twitter.com/minyoruminyon/status/1141227045311016961,asumu12345,0.0,0.0,0.0
22,2019-06-19 15:09:59,https://twitter.com/minyoruminyon/status/1141226603248115712,asumu12345,3.0,1.0,2.0
23,2019-06-10 12:21:49,https://twitter.com/minyoruminyon/status/1137922788495319040,asumu12345,4.0,2.0,2.0
24,2019-05-31 18:27:52,https://twitter.com/minyoruminyon/status/1134391032068550656,asumu12345,2.0,1.0,1.0
25,2019-05-31 12:24:22,https://twitter.com/minyoruminyon/status/1134299553333633024,asumu12345,17.0,6.0,11.0
26,2019-05-31 10:09:08,https://twitter.com/minyoruminyon/status/1134265521535242241,asumu12345,3.0,2.0,1.0
27,2019-05-31 10:06:47,https://twitter.com/minyoruminyon/status/1134264931375706112,asumu12345,4.0,2.0,2.0
28,2019-05-31 10:05:49,https://twitter.com/minyoruminyon/status/1134264687661441029,asumu12345,1.0,0.0,1.0
