,Date,URL,User,R+L,Retweets,Likes
0,2020-02-20 10:44:16,https://twitter.com/minyoruminyon/status/1230307147805675521,k1a030371,0.0,0.0,0.0
1,2020-02-20 10:43:22,https://twitter.com/minyoruminyon/status/1230306920168337408,k1a030371,1.0,0.0,1.0
2,2020-02-19 07:57:14,https://twitter.com/minyoruminyon/status/1229902724310827013,k1a030371,3.0,2.0,1.0
3,2020-02-12 16:16:04,https://twitter.com/minyoruminyon/status/1227491543667245071,k1a030371,1.0,0.0,1.0
4,2020-02-12 16:14:13,https://twitter.com/minyoruminyon/status/1227491077524819968,k1a030371,1.0,0.0,1.0
5,2020-02-12 16:06:37,https://twitter.com/minyoruminyon/status/1227489166696448000,k1a030371,0.0,0.0,0.0
6,2020-02-12 16:02:26,https://twitter.com/minyoruminyon/status/1227488115217948672,k1a030371,3.0,1.0,2.0
7,2020-02-12 15:58:24,https://twitter.com/minyoruminyon/status/1227487098556440576,k1a030371,1.0,0.0,1.0
8,2020-02-12 15:56:11,https://twitter.com/minyoruminyon/status/1227486538579103745,k1a030371,1.0,0.0,1.0
9,2020-02-09 01:46:25,https://twitter.com/minyoruminyon/status/1226185524785795073,k1a030371,0.0,0.0,0.0
10,2020-02-09 01:38:31,https://twitter.com/minyoruminyon/status/1226183539894341632,k1a030371,4.0,2.0,2.0
11,2020-02-09 01:32:57,https://twitter.com/minyoruminyon/status/1226182138535374848,k1a030371,1.0,0.0,1.0
