,Date,URL,User,R+L,Retweets,Likes
0,2019-06-25 12:20:09,https://twitter.com/minyoruminyon/status/1143358189112397824,kakaka082,2.0,1.0,1.0
1,2019-06-18 19:34:18,https://twitter.com/minyoruminyon/status/1140930729506770944,kakaka082,1.0,0.0,1.0
2,2019-06-12 10:35:58,https://twitter.com/minyoruminyon/status/1138620929980882946,kakaka082,1.0,1.0,0.0
3,2019-06-10 12:19:27,https://twitter.com/minyoruminyon/status/1137922194275573761,kakaka082,2.0,1.0,1.0
4,2019-06-07 12:29:54,https://twitter.com/minyoruminyon/status/1136837661673394177,kakaka082,3.0,1.0,2.0
5,2019-06-07 06:02:13,https://twitter.com/minyoruminyon/status/1136740096005160960,kakaka082,1.0,0.0,1.0
6,2019-06-07 01:14:27,https://twitter.com/minyoruminyon/status/1136667678641336321,kakaka082,1.0,0.0,1.0
7,2019-06-06 08:01:56,https://twitter.com/minyoruminyon/status/1136407837238677505,kakaka082,2.0,1.0,1.0
8,2019-06-04 11:13:32,https://twitter.com/minyoruminyon/status/1135731279381520384,kakaka082,1.0,0.0,1.0
9,2019-06-04 11:11:05,https://twitter.com/minyoruminyon/status/1135730661770219520,kakaka082,2.0,1.0,1.0
10,2019-06-03 12:57:01,https://twitter.com/minyoruminyon/status/1135394933076922370,kakaka082,2.0,1.0,1.0
11,2019-06-03 12:56:10,https://twitter.com/minyoruminyon/status/1135394721524699136,kakaka082,2.0,1.0,1.0
12,2019-06-02 14:04:50,https://twitter.com/minyoruminyon/status/1135049611905605633,kakaka082,5.0,1.0,4.0
13,2019-06-02 14:02:44,https://twitter.com/minyoruminyon/status/1135049083968663557,kakaka082,3.0,1.0,2.0
14,2019-06-02 13:56:37,https://twitter.com/minyoruminyon/status/1135047545791475712,kakaka082,3.0,1.0,2.0
15,2019-06-02 12:49:02,https://twitter.com/minyoruminyon/status/1135030535393120256,kakaka082,2.0,1.0,1.0
16,2019-06-02 12:38:23,https://twitter.com/minyoruminyon/status/1135027858072465408,kakaka082,2.0,1.0,1.0
17,2019-06-02 12:35:16,https://twitter.com/minyoruminyon/status/1135027072689008640,kakaka082,2.0,1.0,1.0
