,Date,URL,User,R+L,Retweets,Likes
0,2019-04-24 03:30:41,https://twitter.com/minyoruminyon/status/1120756896892252160,mdo69,1.0,0.0,1.0
1,2019-04-22 06:32:00,https://twitter.com/minyoruminyon/status/1120077749463289856,mdo69,0.0,0.0,0.0
2,2019-04-22 06:29:19,https://twitter.com/minyoruminyon/status/1120077073547063298,mdo69,0.0,0.0,0.0
3,2019-04-22 06:26:13,https://twitter.com/minyoruminyon/status/1120076296027983872,mdo69,0.0,0.0,0.0
4,2019-04-12 21:36:10,https://twitter.com/minyoruminyon/status/1116681411983921153,mdo69,1.0,0.0,1.0
5,2019-04-12 21:34:40,https://twitter.com/minyoruminyon/status/1116681034232320000,mdo69,0.0,0.0,0.0
6,2019-02-15 16:49:17,https://twitter.com/minyoruminyon/status/1096315494204723200,mdo69,0.0,0.0,0.0
7,2018-11-08 09:15:05,https://twitter.com/minyoruminyon/status/1060324795227623424,mdo69,0.0,0.0,0.0
8,2018-11-04 22:44:15,https://twitter.com/minyoruminyon/status/1059078877606100993,mdo69,0.0,0.0,0.0
9,2018-11-04 22:15:24,https://twitter.com/minyoruminyon/status/1059071615827243008,mdo69,1.0,1.0,0.0
10,2018-10-12 03:05:52,https://twitter.com/minyoruminyon/status/1050447404154019840,mdo69,0.0,0.0,0.0
11,2018-09-14 09:02:10,https://twitter.com/minyoruminyon/status/1040390212554121216,mdo69,0.0,0.0,0.0
12,2018-09-02 12:04:38,https://twitter.com/minyoruminyon/status/1036087473917517824,mdo69,0.0,0.0,0.0
