,Date,URL,User,R+L,Retweets,Likes
0,2019-06-02 12:38:59,https://twitter.com/minyoruminyon/status/1135028007930699776,nullsnet,1.0,0.0,1.0
1,2019-05-30 12:56:26,https://twitter.com/minyoruminyon/status/1133945235887706112,nullsnet,0.0,0.0,0.0
2,2019-05-30 12:55:58,https://twitter.com/minyoruminyon/status/1133945118262587392,nullsnet,0.0,0.0,0.0
3,2019-04-13 18:04:32,https://twitter.com/minyoruminyon/status/1116990543765000193,nullsnet,1.0,0.0,1.0
4,2019-04-13 18:04:05,https://twitter.com/minyoruminyon/status/1116990428077670400,nullsnet,2.0,0.0,2.0
5,2019-04-05 15:58:51,https://twitter.com/minyoruminyon/status/1114059808661880832,nullsnet,1.0,1.0,0.0
6,2019-02-11 23:25:19,https://twitter.com/minyoruminyon/status/1094965611757621251,nullsnet,2.0,2.0,0.0
7,2018-12-10 22:19:36,https://twitter.com/minyoruminyon/status/1072118634628038662,nullsnet,1.0,0.0,1.0
8,2018-08-19 18:17:50,https://twitter.com/minyoruminyon/status/1031107965577617408,nullsnet,3.0,2.0,1.0
9,2018-08-19 12:01:19,https://twitter.com/minyoruminyon/status/1031013212706070528,nullsnet,4.0,1.0,3.0
10,2018-08-18 20:39:07,https://twitter.com/minyoruminyon/status/1030781132269219840,nullsnet,3.0,2.0,1.0
11,2018-08-10 20:43:41,https://twitter.com/minyoruminyon/status/1027883178663395328,nullsnet,6.0,3.0,3.0
