,Date,URL,User,R+L,Retweets,Likes
0,2020-02-18 14:28:13,https://twitter.com/minyoruminyon/status/1229638731558092802,tallestorange,3.0,1.0,2.0
1,2020-02-18 11:52:44,https://twitter.com/minyoruminyon/status/1229599602451476480,tallestorange,1.0,0.0,1.0
2,2020-02-16 00:21:58,https://twitter.com/minyoruminyon/status/1228700986841034753,tallestorange,4.0,1.0,3.0
3,2020-02-11 01:15:07,https://twitter.com/minyoruminyon/status/1226902425593774082,tallestorange,12.0,4.0,8.0
4,2020-02-10 18:58:02,https://twitter.com/minyoruminyon/status/1226807530807947267,tallestorange,2.0,1.0,1.0
5,2020-02-10 13:50:58,https://twitter.com/minyoruminyon/status/1226730253944410112,tallestorange,8.0,1.0,7.0
6,2020-02-07 18:01:54,https://twitter.com/minyoruminyon/status/1225706237808918528,tallestorange,1.0,1.0,0.0
7,2020-02-06 09:43:39,https://twitter.com/minyoruminyon/status/1225218461837611008,tallestorange,1.0,0.0,1.0
8,2020-02-05 23:46:52,https://twitter.com/minyoruminyon/status/1225068277862322177,tallestorange,4.0,1.0,3.0
9,2020-02-04 15:44:00,https://twitter.com/minyoruminyon/status/1224584371241287686,tallestorange,6.0,1.0,5.0
10,2020-02-03 13:14:07,https://twitter.com/minyoruminyon/status/1224184263832002560,tallestorange,4.0,1.0,3.0
11,2020-02-02 01:25:29,https://twitter.com/minyoruminyon/status/1223643544138600451,tallestorange,6.0,1.0,5.0
12,2020-02-01 19:14:22,https://twitter.com/minyoruminyon/status/1223550149894393856,tallestorange,3.0,1.0,2.0
13,2020-01-30 10:57:25,https://twitter.com/minyoruminyon/status/1222700311388676096,tallestorange,6.0,1.0,5.0
14,2020-01-30 10:43:00,https://twitter.com/minyoruminyon/status/1222696683059826688,tallestorange,3.0,1.0,2.0
15,2020-01-30 09:48:59,https://twitter.com/minyoruminyon/status/1222683090880880640,tallestorange,4.0,2.0,2.0
16,2020-01-28 15:42:24,https://twitter.com/minyoruminyon/status/1222047252123770882,tallestorange,224.0,79.0,145.0
17,2020-01-28 14:36:32,https://twitter.com/minyoruminyon/status/1222030678478315521,tallestorange,28.0,8.0,20.0
18,2020-01-24 17:04:11,https://twitter.com/minyoruminyon/status/1220618285151965185,tallestorange,5.0,2.0,3.0
19,2020-01-14 16:25:49,https://twitter.com/minyoruminyon/status/1216984748314095616,tallestorange,5.0,2.0,3.0
20,2020-01-10 17:04:24,https://twitter.com/minyoruminyon/status/1215544909744111616,tallestorange,3.0,1.0,2.0
21,2020-01-10 16:37:27,https://twitter.com/minyoruminyon/status/1215538127529365504,tallestorange,3.0,1.0,2.0
22,2020-01-09 11:22:36,https://twitter.com/minyoruminyon/status/1215096504945299461,tallestorange,3.0,1.0,2.0
23,2020-01-08 16:03:20,https://twitter.com/minyoruminyon/status/1214804764262727681,tallestorange,3.0,1.0,2.0
24,2019-12-27 14:44:25,https://twitter.com/minyoruminyon/status/1210436251859312640,tallestorange,5.0,2.0,3.0
25,2019-12-27 11:06:08,https://twitter.com/minyoruminyon/status/1210381318174830592,tallestorange,6.0,2.0,4.0
26,2019-12-25 00:55:02,https://twitter.com/minyoruminyon/status/1209502752868421635,tallestorange,2.0,1.0,1.0
27,2019-12-24 22:03:15,https://twitter.com/minyoruminyon/status/1209459522688827392,tallestorange,2.0,1.0,1.0
28,2019-12-23 19:58:12,https://twitter.com/minyoruminyon/status/1209065664582832128,tallestorange,4.0,1.0,3.0
29,2019-12-19 11:02:58,https://twitter.com/minyoruminyon/status/1207481418244165632,tallestorange,2.0,1.0,1.0
30,2019-12-18 23:10:03,https://twitter.com/minyoruminyon/status/1207302006257246208,tallestorange,2.0,1.0,1.0
31,2019-12-18 16:16:13,https://twitter.com/minyoruminyon/status/1207197862913662978,tallestorange,15.0,5.0,10.0
32,2019-12-18 12:33:36,https://twitter.com/minyoruminyon/status/1207141836927553536,tallestorange,4.0,2.0,2.0
33,2019-12-17 21:12:55,https://twitter.com/minyoruminyon/status/1206910141968183296,tallestorange,11.0,3.0,8.0
34,2019-12-17 15:42:10,https://twitter.com/minyoruminyon/status/1206826903190982656,tallestorange,4.0,0.0,4.0
35,2019-12-17 14:57:56,https://twitter.com/minyoruminyon/status/1206815773068529666,tallestorange,3.0,1.0,2.0
36,2019-12-17 13:46:43,https://twitter.com/minyoruminyon/status/1206797849964318720,tallestorange,10.0,3.0,7.0
37,2019-12-11 19:13:26,https://twitter.com/minyoruminyon/status/1204705743150010368,tallestorange,5.0,1.0,4.0
38,2019-12-10 18:31:11,https://twitter.com/minyoruminyon/status/1204332725777260546,tallestorange,4.0,1.0,3.0
39,2019-12-04 22:41:18,https://twitter.com/minyoruminyon/status/1202221342520725505,tallestorange,6.0,2.0,4.0
40,2019-12-04 18:00:55,https://twitter.com/minyoruminyon/status/1202150781232664576,tallestorange,3.0,1.0,2.0
41,2019-11-30 09:52:37,https://twitter.com/minyoruminyon/status/1200578342392516608,tallestorange,5.0,1.0,4.0
42,2019-11-29 23:07:42,https://twitter.com/minyoruminyon/status/1200416045711781888,tallestorange,2.0,1.0,1.0
43,2019-11-28 15:51:26,https://twitter.com/minyoruminyon/status/1199943866754846727,tallestorange,3.0,1.0,2.0
44,2019-11-27 22:45:01,https://twitter.com/minyoruminyon/status/1199685561872605184,tallestorange,6.0,2.0,4.0
45,2019-11-21 08:38:38,https://twitter.com/minyoruminyon/status/1197298233317326848,tallestorange,6.0,1.0,5.0
46,2019-11-14 15:09:05,https://twitter.com/minyoruminyon/status/1194859780214362118,tallestorange,31.0,8.0,23.0
47,2019-11-13 21:40:15,https://twitter.com/minyoruminyon/status/1194595833070546946,tallestorange,4.0,1.0,3.0
48,2019-11-13 21:38:21,https://twitter.com/minyoruminyon/status/1194595352709459969,tallestorange,2.0,1.0,1.0
49,2019-10-26 00:37:29,https://twitter.com/minyoruminyon/status/1187755065915990016,tallestorange,3.0,1.0,2.0
50,2019-10-23 10:39:36,https://twitter.com/minyoruminyon/status/1186819428387700737,tallestorange,3.0,1.0,2.0
