,Date,URL,User,R+L,Retweets,Likes
0,2019-11-15 15:15:10,https://twitter.com/minyoruminyon/status/1195223698770255872,wint7,2.0,1.0,1.0
1,2019-10-20 18:05:26,https://twitter.com/minyoruminyon/status/1185844463098159104,wint7,7.0,2.0,5.0
2,2019-10-20 17:53:47,https://twitter.com/minyoruminyon/status/1185841530633740288,wint7,14.0,4.0,10.0
3,2019-10-09 00:36:26,https://twitter.com/minyoruminyon/status/1181594208538226689,wint7,7.0,1.0,6.0
4,2019-09-13 02:49:31,https://twitter.com/minyoruminyon/status/1172205614673485824,wint7,2.0,0.0,2.0
5,2019-09-06 15:12:05,https://twitter.com/minyoruminyon/status/1169855770457862144,wint7,2.0,1.0,1.0
6,2019-07-24 13:33:39,https://twitter.com/minyoruminyon/status/1153885932321292288,wint7,0.0,0.0,0.0
7,2019-07-24 13:21:41,https://twitter.com/minyoruminyon/status/1153882921347850240,wint7,0.0,0.0,0.0
8,2019-07-23 18:19:03,https://twitter.com/minyoruminyon/status/1153595370011680769,wint7,0.0,0.0,0.0
9,2019-07-23 18:05:32,https://twitter.com/minyoruminyon/status/1153591966426210304,wint7,11.0,3.0,8.0
10,2019-07-04 20:55:25,https://twitter.com/minyoruminyon/status/1146749351240200192,wint7,3.0,2.0,1.0
