,Date,URL,User,R+L,Retweets,Likes
0,2020-02-16 22:43:10,https://twitter.com/minyoruminyon/status/1229038512562769922,3socha,0.0,0.0,0.0
1,2020-02-16 09:51:09,https://twitter.com/minyoruminyon/status/1228844229532639237,3socha,6.0,0.0,6.0
2,2020-02-16 09:35:21,https://twitter.com/minyoruminyon/status/1228840250346074112,3socha,35.0,8.0,27.0
3,2020-02-15 16:19:36,https://twitter.com/minyoruminyon/status/1228579598767493120,3socha,4.0,1.0,3.0
4,2020-02-15 14:31:12,https://twitter.com/minyoruminyon/status/1228552316883632128,3socha,0.0,0.0,0.0
5,2020-02-15 14:10:52,https://twitter.com/minyoruminyon/status/1228547201825001472,3socha,0.0,0.0,0.0
6,2020-02-15 12:48:02,https://twitter.com/minyoruminyon/status/1228526354150248448,3socha,4.0,0.0,4.0
7,2020-02-12 22:07:40,https://twitter.com/minyoruminyon/status/1227580028432441346,3socha,5.0,1.0,4.0
8,2020-02-05 23:19:04,https://twitter.com/minyoruminyon/status/1225061282237169671,3socha,0.0,0.0,0.0
9,2020-02-02 00:40:14,https://twitter.com/minyoruminyon/status/1223632155546226690,3socha,4.0,1.0,3.0
10,2020-01-29 22:52:49,https://twitter.com/minyoruminyon/status/1222517961312751628,3socha,0.0,0.0,0.0
11,2020-01-29 22:38:01,https://twitter.com/minyoruminyon/status/1222514233163698177,3socha,7.0,4.0,3.0
12,2020-01-22 18:59:07,https://twitter.com/minyoruminyon/status/1219922433517375489,3socha,0.0,0.0,0.0
13,2020-01-17 08:36:19,https://twitter.com/minyoruminyon/status/1217953759550029824,3socha,6.0,3.0,3.0
14,2020-01-14 00:15:13,https://twitter.com/minyoruminyon/status/1216740492160880640,3socha,121.0,58.0,63.0
15,2020-01-12 19:52:52,https://twitter.com/minyoruminyon/status/1216312079897907202,3socha,1.0,0.0,1.0
16,2020-01-12 16:52:06,https://twitter.com/minyoruminyon/status/1216266589718204416,3socha,3.0,2.0,1.0
