,Date,URL,User,R+L,Retweets,Likes
0,2020-02-01 17:39:26,https://twitter.com/minyoruminyon/status/1223526258945904640,Akibako0916,2.0,0.0,2.0
1,2020-02-01 17:29:18,https://twitter.com/minyoruminyon/status/1223523708985171968,Akibako0916,2.0,0.0,2.0
2,2020-02-01 12:14:46,https://twitter.com/minyoruminyon/status/1223444551173427200,Akibako0916,3.0,1.0,2.0
3,2020-02-01 11:51:24,https://twitter.com/minyoruminyon/status/1223438670549540864,Akibako0916,1.0,0.0,1.0
4,2020-01-31 22:54:53,https://twitter.com/minyoruminyon/status/1223243254793027586,Akibako0916,4.0,0.0,4.0
5,2020-01-31 22:51:42,https://twitter.com/minyoruminyon/status/1223242454511407105,Akibako0916,1.0,0.0,1.0
6,2020-01-31 22:41:51,https://twitter.com/minyoruminyon/status/1223239976621490176,Akibako0916,2.0,0.0,2.0
7,2020-01-31 22:39:00,https://twitter.com/minyoruminyon/status/1223239258028142599,Akibako0916,4.0,0.0,4.0
8,2020-01-31 22:34:00,https://twitter.com/minyoruminyon/status/1223237999091077120,Akibako0916,2.0,0.0,2.0
9,2020-01-31 22:29:12,https://twitter.com/minyoruminyon/status/1223236792247128064,Akibako0916,1.0,0.0,1.0
10,2020-01-31 22:25:31,https://twitter.com/minyoruminyon/status/1223235864374861825,Akibako0916,1.0,0.0,1.0
11,2020-01-31 22:15:01,https://twitter.com/minyoruminyon/status/1223233221279666176,Akibako0916,1.0,0.0,1.0
12,2020-01-31 22:11:17,https://twitter.com/minyoruminyon/status/1223232283076726785,Akibako0916,2.0,0.0,2.0
13,2020-01-31 22:09:07,https://twitter.com/minyoruminyon/status/1223231735782993920,Akibako0916,1.0,0.0,1.0
14,2020-01-31 22:04:53,https://twitter.com/minyoruminyon/status/1223230671788724224,Akibako0916,1.0,0.0,1.0
15,2020-01-31 22:03:34,https://twitter.com/minyoruminyon/status/1223230340241584128,Akibako0916,1.0,0.0,1.0
16,2020-01-31 22:01:46,https://twitter.com/minyoruminyon/status/1223229886543753216,Akibako0916,1.0,0.0,1.0
17,2020-01-31 22:00:32,https://twitter.com/minyoruminyon/status/1223229575963922434,Akibako0916,1.0,0.0,1.0
18,2020-01-31 21:58:46,https://twitter.com/minyoruminyon/status/1223229132282089472,Akibako0916,1.0,0.0,1.0
19,2020-01-31 21:49:00,https://twitter.com/minyoruminyon/status/1223226674898063360,Akibako0916,2.0,1.0,1.0
20,2020-01-31 21:47:18,https://twitter.com/minyoruminyon/status/1223226249398505472,Akibako0916,3.0,1.0,2.0
21,2020-01-31 21:43:02,https://twitter.com/minyoruminyon/status/1223225175807684608,Akibako0916,3.0,1.0,2.0
22,2020-01-31 21:35:07,https://twitter.com/minyoruminyon/status/1223223182808637440,Akibako0916,4.0,2.0,2.0
23,2020-01-31 21:31:01,https://twitter.com/minyoruminyon/status/1223222148531048451,Akibako0916,2.0,0.0,2.0
24,2020-01-31 21:25:22,https://twitter.com/minyoruminyon/status/1223220727597301761,Akibako0916,4.0,3.0,1.0
25,2020-01-31 21:21:14,https://twitter.com/minyoruminyon/status/1223219689393811456,Akibako0916,3.0,0.0,3.0
26,2020-01-31 21:18:37,https://twitter.com/minyoruminyon/status/1223219027121541120,Akibako0916,1.0,0.0,1.0
