,Date,URL,User,R+L,Retweets,Likes
0,2020-02-16 23:20:38,https://twitter.com/minyoruminyon/status/1229047941064605696,Nandouwo,5.0,2.0,3.0
1,2020-02-16 02:00:56,https://twitter.com/minyoruminyon/status/1228725895008940032,Nandouwo,6.0,2.0,4.0
2,2020-02-16 01:56:42,https://twitter.com/minyoruminyon/status/1228724828036714496,Nandouwo,7.0,3.0,4.0
3,2020-02-16 01:48:07,https://twitter.com/minyoruminyon/status/1228722670235045888,Nandouwo,2.0,1.0,1.0
4,2020-02-13 06:37:04,https://twitter.com/minyoruminyon/status/1227708222687121410,Nandouwo,3.0,1.0,2.0
5,2020-02-11 13:23:54,https://twitter.com/minyoruminyon/status/1227085828590985216,Nandouwo,8.0,3.0,5.0
6,2020-02-09 10:31:09,https://twitter.com/minyoruminyon/status/1226317580572319744,Nandouwo,2.0,1.0,1.0
7,2020-02-09 09:25:28,https://twitter.com/minyoruminyon/status/1226301051113852928,Nandouwo,1.0,0.0,1.0
8,2020-02-08 16:04:32,https://twitter.com/minyoruminyon/status/1226039092237852675,Nandouwo,5.0,2.0,3.0
9,2020-02-08 16:00:23,https://twitter.com/minyoruminyon/status/1226038045570301952,Nandouwo,8.0,2.0,6.0
10,2020-02-08 15:58:53,https://twitter.com/minyoruminyon/status/1226037666891751426,Nandouwo,1.0,0.0,1.0
11,2020-02-08 12:32:22,https://twitter.com/minyoruminyon/status/1225985694771732485,Nandouwo,0.0,0.0,0.0
12,2020-02-08 12:29:00,https://twitter.com/minyoruminyon/status/1225984850684809216,Nandouwo,0.0,0.0,0.0
13,2020-02-08 04:06:52,https://twitter.com/minyoruminyon/status/1225858481653075973,Nandouwo,11.0,1.0,10.0
14,2020-02-06 20:26:05,https://twitter.com/minyoruminyon/status/1225380133982179328,Nandouwo,9.0,4.0,5.0
15,2020-02-06 10:06:47,https://twitter.com/minyoruminyon/status/1225224285721001985,Nandouwo,0.0,0.0,0.0
16,2020-02-06 04:09:05,https://twitter.com/minyoruminyon/status/1225134267077808130,Nandouwo,5.0,2.0,3.0
17,2020-02-06 04:01:51,https://twitter.com/minyoruminyon/status/1225132443939700736,Nandouwo,2.0,1.0,1.0
18,2020-02-06 03:59:57,https://twitter.com/minyoruminyon/status/1225131965780611074,Nandouwo,1.0,0.0,1.0
19,2020-02-05 23:51:52,https://twitter.com/minyoruminyon/status/1225069535268495363,Nandouwo,3.0,1.0,2.0
20,2020-02-05 23:50:46,https://twitter.com/minyoruminyon/status/1225069257676820481,Nandouwo,0.0,0.0,0.0
21,2020-01-31 07:25:44,https://twitter.com/minyoruminyon/status/1223009427726323713,Nandouwo,3.0,1.0,2.0
22,2020-01-31 07:23:34,https://twitter.com/minyoruminyon/status/1223008880445149185,Nandouwo,2.0,0.0,2.0
23,2020-01-31 07:19:40,https://twitter.com/minyoruminyon/status/1223007900898975744,Nandouwo,3.0,0.0,3.0
24,2020-01-31 07:18:43,https://twitter.com/minyoruminyon/status/1223007659739111424,Nandouwo,3.0,1.0,2.0
