,Date,URL,User,R+L,Retweets,Likes
0,2019-12-27 16:33:35,https://twitter.com/minyoruminyon/status/1210463722126209024,blessingyuki,7.0,3.0,4.0
1,2019-06-24 02:04:49,https://twitter.com/minyoruminyon/status/1142840948319117312,blessingyuki,0.0,0.0,0.0
2,2019-06-24 02:02:32,https://twitter.com/minyoruminyon/status/1142840372248211456,blessingyuki,2.0,1.0,1.0
3,2019-06-22 04:27:45,https://twitter.com/minyoruminyon/status/1142152142137913344,blessingyuki,0.0,0.0,0.0
4,2019-06-22 04:25:29,https://twitter.com/minyoruminyon/status/1142151572094431232,blessingyuki,0.0,0.0,0.0
5,2019-06-22 04:24:23,https://twitter.com/minyoruminyon/status/1142151296369090560,blessingyuki,0.0,0.0,0.0
6,2019-06-16 16:29:49,https://twitter.com/minyoruminyon/status/1140159527100174336,blessingyuki,2.0,2.0,0.0
7,2019-06-10 21:36:11,https://twitter.com/minyoruminyon/status/1138062302714798080,blessingyuki,0.0,0.0,0.0
8,2019-06-10 21:28:21,https://twitter.com/minyoruminyon/status/1138060329764581376,blessingyuki,2.0,1.0,1.0
9,2019-06-10 21:15:31,https://twitter.com/minyoruminyon/status/1138057100951605248,blessingyuki,1.0,0.0,1.0
10,2019-06-10 21:06:59,https://twitter.com/minyoruminyon/status/1138054951928770562,blessingyuki,4.0,1.0,3.0
11,2019-06-10 21:02:51,https://twitter.com/minyoruminyon/status/1138053913230266369,blessingyuki,0.0,0.0,0.0
12,2019-06-03 21:20:38,https://twitter.com/minyoruminyon/status/1135521672553877504,blessingyuki,4.0,2.0,2.0
13,2019-06-03 21:11:08,https://twitter.com/minyoruminyon/status/1135519283281186817,blessingyuki,4.0,1.0,3.0
14,2019-06-02 20:43:23,https://twitter.com/minyoruminyon/status/1135149910280380416,blessingyuki,0.0,0.0,0.0
15,2019-06-02 20:42:25,https://twitter.com/minyoruminyon/status/1135149666604003333,blessingyuki,2.0,1.0,1.0
16,2019-06-02 20:40:41,https://twitter.com/minyoruminyon/status/1135149232371843072,blessingyuki,0.0,0.0,0.0
17,2019-06-02 20:39:29,https://twitter.com/minyoruminyon/status/1135148928205090816,blessingyuki,0.0,0.0,0.0
18,2019-06-01 12:44:40,https://twitter.com/minyoruminyon/status/1134667052172492800,blessingyuki,1.0,0.0,1.0
19,2019-05-30 22:11:42,https://twitter.com/minyoruminyon/status/1134084974850633728,blessingyuki,2.0,2.0,0.0
20,2019-05-30 22:10:30,https://twitter.com/minyoruminyon/status/1134084671996739584,blessingyuki,2.0,1.0,1.0
21,2019-05-30 22:08:29,https://twitter.com/minyoruminyon/status/1134084164758540288,blessingyuki,3.0,2.0,1.0
