,Date,URL,User,R+L,Retweets,Likes
0,2019-08-02 01:39:11,https://twitter.com/minyoruminyon/status/1156967621977235456,himeroco_HYP,1.0,1.0,0.0
1,2019-07-24 18:50:27,https://twitter.com/minyoruminyon/status/1153965661464354816,himeroco_HYP,47.0,15.0,32.0
2,2019-07-16 16:18:39,https://twitter.com/minyoruminyon/status/1151028356055367680,himeroco_HYP,7.0,3.0,4.0
3,2019-07-16 16:12:57,https://twitter.com/minyoruminyon/status/1151026920160497664,himeroco_HYP,0.0,0.0,0.0
4,2019-07-16 16:04:43,https://twitter.com/minyoruminyon/status/1151024848019214336,himeroco_HYP,5.0,3.0,2.0
5,2019-07-16 15:52:47,https://twitter.com/minyoruminyon/status/1151021846898176000,himeroco_HYP,10.0,5.0,5.0
6,2019-07-16 14:59:49,https://twitter.com/minyoruminyon/status/1151008517630779393,himeroco_HYP,2.0,1.0,1.0
7,2019-07-04 15:57:40,https://twitter.com/minyoruminyon/status/1146674419072245760,himeroco_HYP,25.0,5.0,20.0
8,2019-07-04 15:48:26,https://twitter.com/minyoruminyon/status/1146672094102446080,himeroco_HYP,12.0,4.0,8.0
9,2019-05-30 14:27:45,https://twitter.com/minyoruminyon/status/1133968217595043841,himeroco_HYP,1.0,1.0,0.0
10,2019-05-27 22:13:02,https://twitter.com/minyoruminyon/status/1132998143144996864,himeroco_HYP,4.0,2.0,2.0
