,Date,URL,User,R+L,Retweets,Likes
0,2020-01-30 15:45:30,https://twitter.com/minyoruminyon/status/1222772808473661440,nomorepython,4.0,0.0,4.0
1,2020-01-29 19:17:19,https://twitter.com/minyoruminyon/status/1222463726655164416,nomorepython,4.0,0.0,4.0
2,2020-01-29 19:16:35,https://twitter.com/minyoruminyon/status/1222463543758376960,nomorepython,20.0,4.0,16.0
3,2020-01-29 18:49:08,https://twitter.com/minyoruminyon/status/1222456635920134144,nomorepython,4.0,2.0,2.0
4,2020-01-28 13:03:41,https://twitter.com/minyoruminyon/status/1222007313365516288,nomorepython,24.0,8.0,16.0
5,2020-01-05 12:20:41,https://twitter.com/minyoruminyon/status/1213661569529155584,nomorepython,9.0,3.0,6.0
6,2020-01-04 19:08:59,https://twitter.com/minyoruminyon/status/1213401935312670721,nomorepython,13.0,3.0,10.0
7,2019-12-27 14:54:11,https://twitter.com/minyoruminyon/status/1210438709943750657,nomorepython,5.0,2.0,3.0
8,2019-12-03 17:28:59,https://twitter.com/minyoruminyon/status/1201780355235115008,nomorepython,1.0,0.0,1.0
9,2019-12-02 18:00:15,https://twitter.com/minyoruminyon/status/1201425835552411648,nomorepython,4.0,1.0,3.0
10,2019-12-02 17:59:25,https://twitter.com/minyoruminyon/status/1201425627087171584,nomorepython,3.0,1.0,2.0
11,2019-11-20 04:06:21,https://twitter.com/minyoruminyon/status/1196867324369747968,nomorepython,5.0,1.0,4.0
12,2019-11-19 20:03:34,https://twitter.com/minyoruminyon/status/1196745826002817024,nomorepython,3.0,1.0,2.0
13,2019-11-11 18:37:07,https://twitter.com/minyoruminyon/status/1193824969211301889,nomorepython,2.0,1.0,1.0
14,2019-11-07 15:36:31,https://twitter.com/minyoruminyon/status/1192329968371372032,nomorepython,1.0,0.0,1.0
15,2019-11-05 15:05:41,https://twitter.com/minyoruminyon/status/1191597431915302912,nomorepython,1.0,0.0,1.0
16,2019-10-16 15:45:35,https://twitter.com/minyoruminyon/status/1184359718715674624,nomorepython,6.0,2.0,4.0
17,2019-10-16 12:39:23,https://twitter.com/minyoruminyon/status/1184312859955625985,nomorepython,1.0,0.0,1.0
18,2019-10-16 12:18:44,https://twitter.com/minyoruminyon/status/1184307660222369795,nomorepython,2.0,0.0,2.0
19,2019-10-13 20:43:25,https://twitter.com/minyoruminyon/status/1183347506471555072,nomorepython,0.0,0.0,0.0
20,2019-10-12 23:11:10,https://twitter.com/minyoruminyon/status/1183022298674028544,nomorepython,0.0,0.0,0.0
21,2019-10-12 23:10:36,https://twitter.com/minyoruminyon/status/1183022157472784384,nomorepython,1.0,0.0,1.0
22,2019-10-12 05:39:42,https://twitter.com/minyoruminyon/status/1182757690017112064,nomorepython,1.0,0.0,1.0
23,2019-10-12 05:36:15,https://twitter.com/minyoruminyon/status/1182756820340764672,nomorepython,0.0,0.0,0.0
24,2019-09-24 14:39:39,https://twitter.com/minyoruminyon/status/1176370589163872256,nomorepython,26.0,5.0,21.0
25,2019-09-17 17:15:40,https://twitter.com/minyoruminyon/status/1173873136913137664,nomorepython,30.0,8.0,22.0
26,2019-08-28 23:21:41,https://twitter.com/minyoruminyon/status/1166717493584351232,nomorepython,1.0,0.0,1.0
27,2019-08-21 23:31:09,https://twitter.com/minyoruminyon/status/1164183161338646528,nomorepython,5.0,0.0,5.0
28,2019-07-17 20:53:38,https://twitter.com/minyoruminyon/status/1151459943867801600,nomorepython,1.0,0.0,1.0
29,2019-07-17 09:50:49,https://twitter.com/minyoruminyon/status/1151293142303424518,nomorepython,2.0,0.0,2.0
30,2019-07-12 13:30:13,https://twitter.com/minyoruminyon/status/1149536414234632192,nomorepython,4.0,0.0,4.0
31,2019-05-30 21:48:15,https://twitter.com/minyoruminyon/status/1134079072911257601,nomorepython,1.0,0.0,1.0
32,2019-05-30 21:25:57,https://twitter.com/minyoruminyon/status/1134073458923409409,nomorepython,4.0,1.0,3.0
33,2019-05-30 16:00:14,https://twitter.com/minyoruminyon/status/1133991488956686337,nomorepython,1.0,0.0,1.0
34,2019-05-11 19:46:26,https://twitter.com/minyoruminyon/status/1127163045019414528,nomorepython,5.0,1.0,4.0
