Rank,User,Count
1,jiro_saburomaru,4729
2,ryuichiueda,4242
3,blacknon_,3120
4,qwertanus,2287
5,yami_buta,2246
6,grethlen,1188
7,QiToYtkg,1149
8,egpl0,975
9,ytkmns,856
10,eban,725
11,shishimy,597
12,kino___ma,499
13,CareleSmith9,494
14,kazuki_199778,484
15,nogiro_iota,478
16,knrotze,396
17,xztaityozx_001,387
18,RandomWeekday,385
19,nullpopopo,377
20,kuruppo_poppo_,318
21,YToriyama,306
22,cheese_rulez,289
23,3socha,274
24,yukito_2828,272
25,amanoese,260
26,teruteru128,248
27,kanata201612,242
28,SR24TozukaAngyo,241
29,kunst1080,219
30,quon_rst,209
31,papiron,196
32,fujifog,191
33,obknt,185
34,theoldmoon0602,184
35,tacmasi,182
36,theoremoon,181
37,ega_wave,172
38,duck_yasuhiroki,171
39,uluvtu,171
39,satoh_fumiyasu,169
40,math_nobase,164
41,binununn,158
42,t2saras,156
43,venom_d_3,155
44,t_motooka,154
45,hako_bey,148
46,stepney141,146
47,_toku_san,144
48,yasu1988taka,144
48,Bikenekosuke,141
49,midokokemaru,140
50,sesameoil_pro,137
51,ooishi_dog,136
52,dkrqr,136
52,Ag4O4,136
52,kotatsugame_t,130
53,rabdology,125
54,P5mEm,124
55,horagainantou,122
56,Carol_815,122
56,hamukichi_nbr,121
57,127anz,120
58,neunetneucom,115
59,mazotive,112
60,8P2aZMskK2FdUbF,112
60,1inguini,111
61,mutz0623,111
61,kotone_nyt,111
61,systemctl_ryoto,108
62,Logi024tec,102
63,kKanai_,101
64,takion0,96
65,obknnt,96
65,gin_135,90
66,DINER_PREIADES,89
67,HisoNWP,88
68,koala0024,87
69,palomax69,86
70,izumi_reon,86
70,egpl0_sh_2,85
71,rs_pferd,85
71,Esqrt2,85
71,thb_wwwwww,84
72,36kyo,83
73,rsk0315_h4x,82
74,hiro_poke91,82
74,M_1KU,81
75,Mikanixonable,80
76,butackle66,80
76,tallestorange,80
76,toby_net,79
77,robokinoko,76
78,Nmki_98,73
79,Rabdology,73
79,71aa55,72
80,M_4_N_D,71
81,QmanEnobikto,71
81,nros_utq,71
81,fall_murasaki,70
82,nnn1590,70
82,sagatmay,68
83,4ourzer0ei8ht,68
83,wataken44,68
83,nirot1r,65
84,dempacat,65
84,Ore_Not_0zone,64
85,moko2356789,64
85,dainivolunteer,64
85,quon_rst_,64
85,tTDeforestation,62
86,shimesaba_C9,62
86,crazyhacks68k,61
87,kya_ski,59
88,stmtk_yu,59
88,mikkun_jp,58
89,donnay1224,58
89,SR23Araijuku,57
90,_uts2,57
