,Date,URL,User,R+L,Retweets,Likes
0,2019-07-18 13:06:50,https://twitter.com/minyoruminyon/status/1151704859441111046,figyuuuuuu,0.0,0.0,0.0
1,2019-07-18 04:58:01,https://twitter.com/minyoruminyon/status/1151581845512847361,figyuuuuuu,0.0,0.0,0.0
2,2019-07-18 04:50:24,https://twitter.com/minyoruminyon/status/1151579926090272768,figyuuuuuu,0.0,0.0,0.0
3,2019-07-18 04:37:48,https://twitter.com/minyoruminyon/status/1151576757872427008,figyuuuuuu,0.0,0.0,0.0
4,2019-07-18 04:17:56,https://twitter.com/minyoruminyon/status/1151571754541699072,figyuuuuuu,2.0,1.0,1.0
5,2019-07-17 21:49:30,https://twitter.com/minyoruminyon/status/1151474005305544705,figyuuuuuu,1.0,1.0,0.0
6,2019-07-17 14:44:38,https://twitter.com/minyoruminyon/status/1151367083000602624,figyuuuuuu,2.0,1.0,1.0
7,2019-07-17 14:18:14,https://twitter.com/minyoruminyon/status/1151360437008519170,figyuuuuuu,3.0,3.0,0.0
8,2019-07-17 14:16:33,https://twitter.com/minyoruminyon/status/1151360015111839744,figyuuuuuu,2.0,0.0,2.0
9,2019-07-17 14:15:31,https://twitter.com/minyoruminyon/status/1151359757128568832,figyuuuuuu,4.0,2.0,2.0
10,2019-07-17 14:14:44,https://twitter.com/minyoruminyon/status/1151359558700261376,figyuuuuuu,1.0,1.0,0.0
11,2019-07-17 13:39:23,https://twitter.com/minyoruminyon/status/1151350661612593152,figyuuuuuu,1.0,1.0,0.0
12,2019-07-17 12:44:34,https://twitter.com/minyoruminyon/status/1151336868052496385,figyuuuuuu,0.0,0.0,0.0
13,2019-07-17 12:39:19,https://twitter.com/minyoruminyon/status/1151335546335051776,figyuuuuuu,2.0,0.0,2.0
14,2019-07-17 11:55:27,https://twitter.com/minyoruminyon/status/1151324505718976512,figyuuuuuu,2.0,0.0,2.0
15,2019-07-17 11:54:06,https://twitter.com/minyoruminyon/status/1151324166336835584,figyuuuuuu,0.0,0.0,0.0
16,2019-07-17 11:44:31,https://twitter.com/minyoruminyon/status/1151321755979399168,figyuuuuuu,1.0,1.0,0.0
17,2019-07-17 11:41:11,https://twitter.com/minyoruminyon/status/1151320914539061248,figyuuuuuu,1.0,0.0,1.0
18,2019-07-17 11:26:10,https://twitter.com/minyoruminyon/status/1151317138138734592,figyuuuuuu,0.0,0.0,0.0
19,2019-07-17 11:25:16,https://twitter.com/minyoruminyon/status/1151316911252054016,figyuuuuuu,0.0,0.0,0.0
20,2019-07-17 11:23:12,https://twitter.com/minyoruminyon/status/1151316391640756224,figyuuuuuu,3.0,1.0,2.0
21,2019-07-17 11:21:37,https://twitter.com/minyoruminyon/status/1151315991487377409,figyuuuuuu,0.0,0.0,0.0
22,2019-07-17 11:10:41,https://twitter.com/minyoruminyon/status/1151313238715322373,figyuuuuuu,0.0,0.0,0.0
23,2019-07-17 11:06:49,https://twitter.com/minyoruminyon/status/1151312267763281920,figyuuuuuu,0.0,0.0,0.0
24,2019-07-17 10:36:38,https://twitter.com/minyoruminyon/status/1151304669789949952,figyuuuuuu,1.0,0.0,1.0
25,2019-07-17 10:30:45,https://twitter.com/minyoruminyon/status/1151303192484827136,figyuuuuuu,2.0,1.0,1.0
26,2019-07-17 09:55:08,https://twitter.com/minyoruminyon/status/1151294229370421248,figyuuuuuu,5.0,1.0,4.0
27,2019-07-17 09:50:26,https://twitter.com/minyoruminyon/status/1151293045498761216,figyuuuuuu,1.0,0.0,1.0
28,2019-07-17 08:54:52,https://twitter.com/minyoruminyon/status/1151279060191834113,figyuuuuuu,0.0,0.0,0.0
29,2019-07-17 08:53:52,https://twitter.com/minyoruminyon/status/1151278807568904193,figyuuuuuu,0.0,0.0,0.0
30,2019-07-17 08:52:37,https://twitter.com/minyoruminyon/status/1151278495424663552,figyuuuuuu,1.0,1.0,0.0
31,2019-07-17 08:21:35,https://twitter.com/minyoruminyon/status/1151270684791693312,figyuuuuuu,0.0,0.0,0.0
32,2019-07-17 08:04:42,https://twitter.com/minyoruminyon/status/1151266436045651969,figyuuuuuu,3.0,0.0,3.0
33,2019-07-17 01:53:19,https://twitter.com/minyoruminyon/status/1151172974688387072,figyuuuuuu,2.0,0.0,2.0
34,2019-07-17 01:50:25,https://twitter.com/minyoruminyon/status/1151172246154575877,figyuuuuuu,1.0,0.0,1.0
35,2019-07-17 01:45:14,https://twitter.com/minyoruminyon/status/1151170938320240640,figyuuuuuu,3.0,1.0,2.0
36,2019-07-17 01:43:05,https://twitter.com/minyoruminyon/status/1151170397355646976,figyuuuuuu,4.0,2.0,2.0
37,2019-07-17 01:39:05,https://twitter.com/minyoruminyon/status/1151169393327398912,figyuuuuuu,1.0,0.0,1.0
38,2019-07-16 23:35:43,https://twitter.com/minyoruminyon/status/1151138345717624832,figyuuuuuu,1.0,1.0,0.0
39,2019-07-16 23:32:01,https://twitter.com/minyoruminyon/status/1151137415915958272,figyuuuuuu,0.0,0.0,0.0
