,Date,URL,User,R+L,Retweets,Likes
0,2020-02-04 18:44:38,https://twitter.com/minyoruminyon/status/1224629828646621185,iPhone_S9,1.0,1.0,0.0
1,2020-02-04 18:41:23,https://twitter.com/minyoruminyon/status/1224629010371530752,iPhone_S9,3.0,2.0,1.0
2,2020-02-04 18:20:42,https://twitter.com/minyoruminyon/status/1224623806729216000,iPhone_S9,0.0,0.0,0.0
3,2020-02-03 17:05:21,https://twitter.com/minyoruminyon/status/1224242454146084864,iPhone_S9,1.0,0.0,1.0
4,2020-02-02 20:30:07,https://twitter.com/minyoruminyon/status/1223931597830807554,iPhone_S9,2.0,0.0,2.0
5,2020-02-02 18:41:41,https://twitter.com/minyoruminyon/status/1223904310733393920,iPhone_S9,2.0,1.0,1.0
6,2020-02-02 14:08:07,https://twitter.com/minyoruminyon/status/1223835463871369217,iPhone_S9,0.0,0.0,0.0
7,2020-02-02 14:06:14,https://twitter.com/minyoruminyon/status/1223834992985247746,iPhone_S9,2.0,1.0,1.0
8,2020-02-02 13:51:30,https://twitter.com/minyoruminyon/status/1223831286034264064,iPhone_S9,2.0,1.0,1.0
9,2020-02-02 13:49:51,https://twitter.com/minyoruminyon/status/1223830869132988417,iPhone_S9,3.0,1.0,2.0
10,2020-02-02 12:44:13,https://twitter.com/minyoruminyon/status/1223814352769175552,iPhone_S9,1.0,0.0,1.0
11,2020-02-02 01:03:49,https://twitter.com/minyoruminyon/status/1223638091748933632,iPhone_S9,5.0,2.0,3.0
12,2020-02-01 21:59:27,https://twitter.com/minyoruminyon/status/1223591691455619072,iPhone_S9,10.0,5.0,5.0
13,2020-02-01 20:00:27,https://twitter.com/minyoruminyon/status/1223561747732156416,iPhone_S9,3.0,1.0,2.0
