,Date,URL,User,R+L,Retweets,Likes
0,2020-02-02 20:25:05,https://twitter.com/minyoruminyon/status/1223930333042638848,kittenishkit,5.0,1.0,4.0
1,2020-01-15 10:25:29,https://twitter.com/minyoruminyon/status/1217256455373344768,kittenishkit,3.0,1.0,2.0
2,2019-12-31 15:58:37,https://twitter.com/minyoruminyon/status/1211904474551209984,kittenishkit,5.0,1.0,4.0
3,2019-12-25 18:08:04,https://twitter.com/minyoruminyon/status/1209762723120074752,kittenishkit,10.0,3.0,7.0
4,2019-12-23 10:54:44,https://twitter.com/minyoruminyon/status/1208928895812038656,kittenishkit,17.0,4.0,13.0
5,2019-12-17 14:51:45,https://twitter.com/minyoruminyon/status/1206814217589813249,kittenishkit,1.0,0.0,1.0
6,2019-12-17 07:26:45,https://twitter.com/minyoruminyon/status/1206702229714944000,kittenishkit,10.0,4.0,6.0
7,2019-12-10 19:51:57,https://twitter.com/minyoruminyon/status/1204353051605094401,kittenishkit,12.0,5.0,7.0
8,2019-12-07 13:15:12,https://twitter.com/minyoruminyon/status/1203166042551287809,kittenishkit,19.0,7.0,12.0
9,2019-12-04 20:12:35,https://twitter.com/minyoruminyon/status/1202183914359377920,kittenishkit,6.0,2.0,4.0
10,2019-12-03 21:37:43,https://twitter.com/minyoruminyon/status/1201842951304777728,kittenishkit,5.0,3.0,2.0
11,2019-12-01 19:33:26,https://twitter.com/minyoruminyon/status/1201086900150263810,kittenishkit,3.0,2.0,1.0
12,2019-11-30 11:06:24,https://twitter.com/minyoruminyon/status/1200596911842979841,kittenishkit,3.0,2.0,1.0
13,2019-11-28 17:55:45,https://twitter.com/minyoruminyon/status/1199975153800638465,kittenishkit,2.0,1.0,1.0
14,2019-09-15 13:17:12,https://twitter.com/minyoruminyon/status/1173088350518960129,kittenishkit,1.0,0.0,1.0
15,2019-08-25 21:01:52,https://twitter.com/minyoruminyon/status/1165595143522488321,kittenishkit,1.0,1.0,0.0
16,2019-07-16 16:52:24,https://twitter.com/minyoruminyon/status/1151036847453331456,kittenishkit,1.0,0.0,1.0
17,2019-06-27 23:00:28,https://twitter.com/minyoruminyon/status/1144244106840948738,kittenishkit,0.0,0.0,0.0
18,2019-06-17 22:06:40,https://twitter.com/minyoruminyon/status/1140606686102581249,kittenishkit,3.0,2.0,1.0
19,2019-06-12 16:31:55,https://twitter.com/minyoruminyon/status/1138710503893553153,kittenishkit,6.0,2.0,4.0
20,2019-06-12 02:06:51,https://twitter.com/minyoruminyon/status/1138492803502301186,kittenishkit,48.0,22.0,26.0
21,2019-06-11 00:40:11,https://twitter.com/minyoruminyon/status/1138108607898087424,kittenishkit,3.0,2.0,1.0
22,2019-06-11 00:27:01,https://twitter.com/minyoruminyon/status/1138105291931709446,kittenishkit,5.0,2.0,3.0
23,2019-06-08 12:23:43,https://twitter.com/minyoruminyon/status/1137198491241869314,kittenishkit,0.0,0.0,0.0
24,2019-06-07 11:11:49,https://twitter.com/minyoruminyon/status/1136818010881060869,kittenishkit,0.0,0.0,0.0
