,Date,URL,User,R+L,Retweets,Likes
0,2020-01-31 14:43:02,https://twitter.com/minyoruminyon/status/1223119477400723456,370kum,3.0,2.0,1.0
1,2020-01-31 14:41:37,https://twitter.com/minyoruminyon/status/1223119119483953153,370kum,2.0,1.0,1.0
2,2020-01-31 14:36:04,https://twitter.com/minyoruminyon/status/1223117722373906433,370kum,1.0,0.0,1.0
3,2020-01-31 14:34:13,https://twitter.com/minyoruminyon/status/1223117257305313281,370kum,1.0,0.0,1.0
4,2020-01-31 14:33:14,https://twitter.com/minyoruminyon/status/1223117010155917312,370kum,1.0,0.0,1.0
5,2020-01-31 11:27:33,https://twitter.com/minyoruminyon/status/1223070283524739072,370kum,0.0,0.0,0.0
6,2020-01-31 11:18:02,https://twitter.com/minyoruminyon/status/1223067889197912064,370kum,6.0,2.0,4.0
7,2020-01-30 15:47:25,https://twitter.com/minyoruminyon/status/1222773292336967681,370kum,4.0,1.0,3.0
8,2020-01-30 15:42:17,https://twitter.com/minyoruminyon/status/1222772002101985283,370kum,8.0,1.0,7.0
9,2020-01-30 10:51:21,https://twitter.com/minyoruminyon/status/1222698783026204673,370kum,0.0,0.0,0.0
10,2020-01-30 10:40:43,https://twitter.com/minyoruminyon/status/1222696107618136064,370kum,2.0,1.0,1.0
