,Date,URL,User,R+L,Retweets,Likes
0,2020-02-24 16:57:52,https://twitter.com/minyoruminyon/status/1231850718769770496,Kei_J0004,42.0,10.0,32.0
1,2020-02-09 09:10:23,https://twitter.com/minyoruminyon/status/1226297255784660992,Kei_J0004,1.0,0.0,1.0
2,2020-02-04 16:16:55,https://twitter.com/minyoruminyon/status/1224592654924566528,Kei_J0004,1.0,1.0,0.0
3,2020-02-04 08:31:31,https://twitter.com/minyoruminyon/status/1224475533267763200,Kei_J0004,0.0,0.0,0.0
4,2020-02-03 19:00:09,https://twitter.com/minyoruminyon/status/1224271346827317249,Kei_J0004,2.0,1.0,1.0
5,2020-02-03 18:57:04,https://twitter.com/minyoruminyon/status/1224270571149524992,Kei_J0004,1.0,0.0,1.0
6,2020-02-03 13:59:07,https://twitter.com/minyoruminyon/status/1224195588352200704,Kei_J0004,0.0,0.0,0.0
7,2020-02-02 17:47:41,https://twitter.com/minyoruminyon/status/1223890720617971713,Kei_J0004,3.0,1.0,2.0
8,2020-02-02 10:06:05,https://twitter.com/minyoruminyon/status/1223774557636399105,Kei_J0004,2.0,0.0,2.0
9,2020-02-01 18:28:15,https://twitter.com/minyoruminyon/status/1223538544028737537,Kei_J0004,1.0,0.0,1.0
10,2020-01-31 22:13:03,https://twitter.com/minyoruminyon/status/1223232729598181378,Kei_J0004,0.0,0.0,0.0
11,2020-01-30 19:23:59,https://twitter.com/minyoruminyon/status/1222827794196942848,Kei_J0004,2.0,1.0,1.0
12,2020-01-30 13:19:17,https://twitter.com/minyoruminyon/status/1222736012759031809,Kei_J0004,2.0,1.0,1.0
13,2020-01-30 13:17:28,https://twitter.com/minyoruminyon/status/1222735555466711040,Kei_J0004,1.0,0.0,1.0
14,2020-01-30 13:15:56,https://twitter.com/minyoruminyon/status/1222735169951395840,Kei_J0004,0.0,0.0,0.0
15,2020-01-30 11:38:50,https://twitter.com/minyoruminyon/status/1222710734238273537,Kei_J0004,0.0,0.0,0.0
16,2020-01-30 11:07:01,https://twitter.com/minyoruminyon/status/1222702728280854528,Kei_J0004,1.0,0.0,1.0
17,2020-01-30 10:42:09,https://twitter.com/minyoruminyon/status/1222696468768677888,Kei_J0004,1.0,0.0,1.0
