,Date,URL,User,R+L,Retweets,Likes
0,2020-08-20 01:42:42,https://twitter.com/minyoruminyon/status/1296125449760735232,VLPCe,1.0,1.0,0.0
1,2020-04-03 20:14:37,https://twitter.com/minyoruminyon/status/1246033360050212866,VLPCe,5.0,2.0,3.0
2,2020-02-10 13:47:55,https://twitter.com/minyoruminyon/status/1226729485199790080,VLPCe,4.0,1.0,3.0
3,2020-02-05 07:48:04,https://twitter.com/minyoruminyon/status/1224826985270001664,VLPCe,0.0,0.0,0.0
4,2019-09-22 10:03:51,https://twitter.com/minyoruminyon/status/1175576409978195968,VLPCe,1.0,1.0,0.0
5,2019-07-23 00:45:24,https://twitter.com/minyoruminyon/status/1153330208767799297,VLPCe,0.0,0.0,0.0
6,2019-07-14 10:28:44,https://twitter.com/minyoruminyon/status/1150215519212994561,VLPCe,0.0,0.0,0.0
7,2019-07-07 17:31:05,https://twitter.com/minyoruminyon/status/1147785094054105088,VLPCe,3.0,1.0,2.0
8,2019-06-30 01:30:41,https://twitter.com/minyoruminyon/status/1145006685758476288,VLPCe,22.0,10.0,12.0
9,2019-06-30 01:25:45,https://twitter.com/minyoruminyon/status/1145005444265476096,VLPCe,5.0,1.0,4.0
10,2019-06-27 22:44:24,https://twitter.com/minyoruminyon/status/1144240063594680320,VLPCe,1.0,0.0,1.0
11,2019-06-27 21:59:59,https://twitter.com/minyoruminyon/status/1144228884776288256,VLPCe,4.0,1.0,3.0
12,2019-06-24 23:22:05,https://twitter.com/minyoruminyon/status/1143162383952572417,VLPCe,0.0,0.0,0.0
13,2019-06-18 19:59:59,https://twitter.com/minyoruminyon/status/1140937193734594560,VLPCe,0.0,0.0,0.0
14,2019-06-17 00:29:17,https://twitter.com/minyoruminyon/status/1140280189357719555,VLPCe,0.0,0.0,0.0
15,2019-06-17 00:27:58,https://twitter.com/minyoruminyon/status/1140279857634394112,VLPCe,0.0,0.0,0.0
16,2019-06-16 23:53:17,https://twitter.com/minyoruminyon/status/1140271129338077185,VLPCe,1.0,1.0,0.0
17,2019-06-14 10:01:41,https://twitter.com/minyoruminyon/status/1139337075906367488,VLPCe,3.0,1.0,2.0
