,Date,URL,User,R+L,Retweets,Likes
0,2018-10-06 10:15:38,https://twitter.com/minyoruminyon/status/1048381232558424064,_Clay____,1.0,0.0,1.0
1,2018-09-30 12:03:50,https://twitter.com/minyoruminyon/status/1046234136569044992,_Clay____,7.0,3.0,4.0
2,2018-09-30 11:13:22,https://twitter.com/minyoruminyon/status/1046221436115775488,_Clay____,1.0,1.0,0.0
3,2018-09-30 11:10:46,https://twitter.com/minyoruminyon/status/1046220778365116416,_Clay____,2.0,0.0,2.0
4,2018-09-30 10:36:41,https://twitter.com/minyoruminyon/status/1046212202342957057,_Clay____,0.0,0.0,0.0
5,2018-09-30 10:34:19,https://twitter.com/minyoruminyon/status/1046211608156942336,_Clay____,0.0,0.0,0.0
6,2018-09-30 10:32:21,https://twitter.com/minyoruminyon/status/1046211113442979840,_Clay____,2.0,1.0,1.0
7,2018-09-30 10:28:56,https://twitter.com/minyoruminyon/status/1046210251412783104,_Clay____,0.0,0.0,0.0
8,2018-09-28 16:17:09,https://twitter.com/minyoruminyon/status/1045573110110412800,_Clay____,4.0,1.0,3.0
9,2018-09-28 13:18:20,https://twitter.com/minyoruminyon/status/1045528109129191427,_Clay____,2.0,1.0,1.0
10,2018-09-28 07:48:01,https://twitter.com/minyoruminyon/status/1045444982532845568,_Clay____,11.0,4.0,7.0
11,2018-09-28 07:46:05,https://twitter.com/minyoruminyon/status/1045444494550695936,_Clay____,19.0,5.0,14.0
12,2018-09-27 14:25:43,https://twitter.com/minyoruminyon/status/1045182675898658816,_Clay____,0.0,0.0,0.0
13,2018-09-27 14:16:46,https://twitter.com/minyoruminyon/status/1045180422961778688,_Clay____,0.0,0.0,0.0
14,2018-09-27 14:15:31,https://twitter.com/minyoruminyon/status/1045180109324349441,_Clay____,0.0,0.0,0.0
15,2018-09-26 15:54:35,https://twitter.com/minyoruminyon/status/1044842652087308289,_Clay____,3.0,1.0,2.0
16,2018-09-26 15:51:09,https://twitter.com/minyoruminyon/status/1044841789209935872,_Clay____,3.0,2.0,1.0
17,2018-09-26 15:47:25,https://twitter.com/minyoruminyon/status/1044840851946565634,_Clay____,0.0,0.0,0.0
18,2018-09-26 15:28:14,https://twitter.com/minyoruminyon/status/1044836021505052672,_Clay____,0.0,0.0,0.0
19,2018-09-26 15:13:35,https://twitter.com/minyoruminyon/status/1044832333780701184,_Clay____,0.0,0.0,0.0
20,2018-09-26 14:08:09,https://twitter.com/minyoruminyon/status/1044815868918730752,_Clay____,0.0,0.0,0.0
21,2018-09-26 13:48:09,https://twitter.com/minyoruminyon/status/1044810836806684673,_Clay____,1.0,0.0,1.0
22,2018-09-26 13:47:05,https://twitter.com/minyoruminyon/status/1044810566714503168,_Clay____,0.0,0.0,0.0
23,2018-09-26 13:43:50,https://twitter.com/minyoruminyon/status/1044809749588529152,_Clay____,0.0,0.0,0.0
24,2018-09-26 11:12:01,https://twitter.com/minyoruminyon/status/1044771545153863680,_Clay____,2.0,1.0,1.0
25,2018-09-26 11:11:06,https://twitter.com/minyoruminyon/status/1044771311212318720,_Clay____,1.0,0.0,1.0
26,2018-09-26 11:08:48,https://twitter.com/minyoruminyon/status/1044770733325307904,_Clay____,0.0,0.0,0.0
27,2018-09-26 10:54:09,https://twitter.com/minyoruminyon/status/1044767045349330944,_Clay____,2.0,1.0,1.0
28,2018-09-24 16:53:22,https://twitter.com/minyoruminyon/status/1044132671528423425,_Clay____,9.0,1.0,8.0
29,2018-09-23 17:56:44,https://twitter.com/minyoruminyon/status/1043786229634891777,_Clay____,0.0,0.0,0.0
30,2018-09-21 21:44:30,https://twitter.com/minyoruminyon/status/1043118775199883264,_Clay____,2.0,1.0,1.0
31,2018-09-21 21:43:08,https://twitter.com/minyoruminyon/status/1043118429723537408,_Clay____,0.0,0.0,0.0
32,2018-09-21 21:40:55,https://twitter.com/minyoruminyon/status/1043117870471774209,_Clay____,7.0,2.0,5.0
33,2018-09-20 16:23:45,https://twitter.com/minyoruminyon/status/1042675664640401409,_Clay____,6.0,3.0,3.0
34,2018-09-19 15:00:48,https://twitter.com/minyoruminyon/status/1042292404110295041,_Clay____,7.0,3.0,4.0
35,2018-09-18 10:21:33,https://twitter.com/minyoruminyon/status/1041859738982440960,_Clay____,1.0,0.0,1.0
36,2018-09-18 10:17:37,https://twitter.com/minyoruminyon/status/1041858750812848128,_Clay____,0.0,0.0,0.0
37,2018-09-18 10:13:19,https://twitter.com/minyoruminyon/status/1041857667449274368,_Clay____,0.0,0.0,0.0
38,2018-09-17 22:20:21,https://twitter.com/minyoruminyon/status/1041678243047256066,_Clay____,2.0,1.0,1.0
39,2018-09-16 14:35:33,https://twitter.com/minyoruminyon/status/1041198884419035137,_Clay____,2.0,1.0,1.0
40,2018-09-16 14:32:18,https://twitter.com/minyoruminyon/status/1041198068224282625,_Clay____,10.0,5.0,5.0
41,2018-09-16 13:56:00,https://twitter.com/minyoruminyon/status/1041188932522659840,_Clay____,3.0,1.0,2.0
42,2018-09-16 13:37:19,https://twitter.com/minyoruminyon/status/1041184231693541376,_Clay____,8.0,4.0,4.0
43,2018-09-16 10:55:22,https://twitter.com/minyoruminyon/status/1041143472491716613,_Clay____,4.0,2.0,2.0
44,2018-09-16 10:50:11,https://twitter.com/minyoruminyon/status/1041142170076381184,_Clay____,0.0,0.0,0.0
45,2018-09-13 13:52:31,https://twitter.com/minyoruminyon/status/1040100892706365440,_Clay____,2.0,1.0,1.0
46,2018-09-13 13:45:21,https://twitter.com/minyoruminyon/status/1040099089189203968,_Clay____,0.0,0.0,0.0
47,2018-09-13 12:20:28,https://twitter.com/minyoruminyon/status/1040077726256783361,_Clay____,0.0,0.0,0.0
48,2018-09-13 11:53:28,https://twitter.com/minyoruminyon/status/1040070933484957696,_Clay____,2.0,0.0,2.0
49,2018-09-13 11:40:31,https://twitter.com/minyoruminyon/status/1040067671755128832,_Clay____,1.0,0.0,1.0
50,2018-09-13 08:42:28,https://twitter.com/minyoruminyon/status/1040022864349413376,_Clay____,1.0,0.0,1.0
51,2018-09-12 18:10:22,https://twitter.com/minyoruminyon/status/1039803392535588864,_Clay____,0.0,0.0,0.0
52,2018-09-12 18:06:13,https://twitter.com/minyoruminyon/status/1039802350645391360,_Clay____,1.0,0.0,1.0
53,2018-09-11 17:54:21,https://twitter.com/minyoruminyon/status/1039436973889314816,_Clay____,1.0,0.0,1.0
54,2018-09-11 17:18:42,https://twitter.com/minyoruminyon/status/1039428005397811200,_Clay____,6.0,2.0,4.0
55,2018-09-11 17:14:47,https://twitter.com/minyoruminyon/status/1039427017744113665,_Clay____,3.0,1.0,2.0
