,Date,URL,User,R+L,Retweets,Likes
0,2020-08-15 16:41:07,https://twitter.com/minyoruminyon/status/1294539603995574275,hiro_poke91,9.0,2.0,7.0
1,2020-08-15 15:36:06,https://twitter.com/minyoruminyon/status/1294523240254070784,hiro_poke91,0.0,0.0,0.0
2,2020-08-15 15:22:27,https://twitter.com/minyoruminyon/status/1294519805475581952,hiro_poke91,2.0,0.0,2.0
3,2020-08-15 15:19:18,https://twitter.com/minyoruminyon/status/1294519012525608961,hiro_poke91,0.0,0.0,0.0
4,2020-08-15 14:56:32,https://twitter.com/minyoruminyon/status/1294513283106369536,hiro_poke91,2.0,0.0,2.0
5,2020-08-15 14:29:22,https://twitter.com/minyoruminyon/status/1294506447963713537,hiro_poke91,3.0,1.0,2.0
6,2020-08-15 14:16:55,https://twitter.com/minyoruminyon/status/1294503315011600385,hiro_poke91,0.0,0.0,0.0
7,2020-08-15 14:12:04,https://twitter.com/minyoruminyon/status/1294502094095835138,hiro_poke91,0.0,0.0,0.0
8,2020-08-15 14:05:15,https://twitter.com/minyoruminyon/status/1294500379397197825,hiro_poke91,0.0,0.0,0.0
9,2020-08-15 13:30:23,https://twitter.com/minyoruminyon/status/1294491601805275136,hiro_poke91,2.0,1.0,1.0
10,2020-07-22 17:14:51,https://twitter.com/minyoruminyon/status/1285850782013636609,hiro_poke91,2.0,1.0,1.0
11,2020-07-22 16:51:38,https://twitter.com/minyoruminyon/status/1285844943315955713,hiro_poke91,6.0,2.0,4.0
12,2020-07-06 15:25:35,https://twitter.com/minyoruminyon/status/1280025079267487745,hiro_poke91,4.0,1.0,3.0
13,2020-06-27 15:01:30,https://twitter.com/minyoruminyon/status/1276757530291564550,hiro_poke91,0.0,0.0,0.0
14,2020-06-27 13:45:10,https://twitter.com/minyoruminyon/status/1276738319984914433,hiro_poke91,1.0,0.0,1.0
15,2020-06-27 13:39:05,https://twitter.com/minyoruminyon/status/1276736787101057024,hiro_poke91,0.0,0.0,0.0
16,2020-06-22 13:45:04,https://twitter.com/minyoruminyon/status/1274926353108750336,hiro_poke91,1.0,0.0,1.0
17,2020-04-29 14:41:50,https://twitter.com/minyoruminyon/status/1255371696334417923,hiro_poke91,4.0,2.0,2.0
18,2020-04-29 14:30:10,https://twitter.com/minyoruminyon/status/1255368759847669763,hiro_poke91,4.0,2.0,2.0
19,2020-03-08 17:23:58,https://twitter.com/minyoruminyon/status/1236568327356440576,hiro_poke91,5.0,2.0,3.0
20,2020-03-08 17:19:49,https://twitter.com/minyoruminyon/status/1236567283524186112,hiro_poke91,11.0,3.0,8.0
21,2020-03-07 20:52:58,https://twitter.com/minyoruminyon/status/1236258536142671873,hiro_poke91,8.0,3.0,5.0
22,2020-03-06 14:14:47,https://twitter.com/minyoruminyon/status/1235795944085442560,hiro_poke91,0.0,0.0,0.0
