,Date,URL,User,R+L,Retweets,Likes
0,2020-06-19 12:42:58,https://twitter.com/minyoruminyon/status/1273823560985833472,kiridaruma,0.0,0.0,0.0
1,2020-02-03 17:32:17,https://twitter.com/minyoruminyon/status/1224249234053943296,kiridaruma,1.0,1.0,0.0
2,2020-02-03 17:30:00,https://twitter.com/minyoruminyon/status/1224248658180243456,kiridaruma,1.0,0.0,1.0
3,2020-01-09 19:53:33,https://twitter.com/minyoruminyon/status/1215225086875074560,kiridaruma,0.0,0.0,0.0
4,2019-12-16 10:02:55,https://twitter.com/minyoruminyon/status/1206379143090204672,kiridaruma,6.0,3.0,3.0
5,2019-08-19 21:04:38,https://twitter.com/minyoruminyon/status/1163421510318448640,kiridaruma,1.0,0.0,1.0
6,2019-06-28 00:59:22,https://twitter.com/minyoruminyon/status/1144274026711228417,kiridaruma,3.0,2.0,1.0
7,2019-06-27 22:35:42,https://twitter.com/minyoruminyon/status/1144237871307431936,kiridaruma,2.0,1.0,1.0
8,2019-06-06 15:23:40,https://twitter.com/minyoruminyon/status/1136519004699234305,kiridaruma,1.0,1.0,0.0
9,2019-06-03 09:53:26,https://twitter.com/minyoruminyon/status/1135348733539786752,kiridaruma,1.0,1.0,0.0
10,2019-05-31 16:14:58,https://twitter.com/minyoruminyon/status/1134357586608656384,kiridaruma,2.0,1.0,1.0
11,2019-05-19 12:34:57,https://twitter.com/minyoruminyon/status/1129953560618082304,kiridaruma,1.0,1.0,0.0
12,2019-05-19 11:18:10,https://twitter.com/minyoruminyon/status/1129934238650736640,kiridaruma,2.0,2.0,0.0
13,2018-12-27 08:44:21,https://twitter.com/minyoruminyon/status/1078074063690510337,kiridaruma,2.0,2.0,0.0
14,2018-12-27 08:43:03,https://twitter.com/minyoruminyon/status/1078073740209020928,kiridaruma,1.0,1.0,0.0
15,2017-07-10 09:28:51,https://twitter.com/minyoruminyon/status/884207754117644288,kiridaruma,2.0,1.0,1.0
16,2017-07-07 09:56:17,https://twitter.com/minyoruminyon/status/883127496186634240,kiridaruma,2.0,1.0,1.0
