,Date,URL,User,R+L,Retweets,Likes
0,2020-05-09 21:46:05,https://twitter.com/minyoruminyon/status/1259102338540658690,s_kajita,4.0,2.0,2.0
1,2020-05-08 19:41:17,https://twitter.com/minyoruminyon/status/1258708546855645185,s_kajita,3.0,1.0,2.0
2,2019-08-31 00:16:40,https://twitter.com/minyoruminyon/status/1167456107477921792,s_kajita,3.0,1.0,2.0
3,2019-08-08 00:06:12,https://twitter.com/minyoruminyon/status/1159118551812210688,s_kajita,4.0,2.0,2.0
4,2019-08-01 00:16:46,https://twitter.com/minyoruminyon/status/1156584495870599168,s_kajita,8.0,3.0,5.0
5,2019-07-15 00:14:06,https://twitter.com/minyoruminyon/status/1150423231242723329,s_kajita,12.0,3.0,9.0
6,2019-06-20 00:19:35,https://twitter.com/minyoruminyon/status/1141364913765437442,s_kajita,4.0,1.0,3.0
7,2019-05-30 12:39:09,https://twitter.com/minyoruminyon/status/1133940887094943744,s_kajita,5.0,2.0,3.0
8,2019-05-19 12:20:53,https://twitter.com/minyoruminyon/status/1129950020663255040,s_kajita,1.0,0.0,1.0
9,2019-04-17 12:45:39,https://twitter.com/minyoruminyon/status/1118359845449736192,s_kajita,7.0,4.0,3.0
10,2019-04-14 21:36:21,https://twitter.com/minyoruminyon/status/1117406235299500032,s_kajita,4.0,1.0,3.0
11,2019-04-10 12:56:57,https://twitter.com/minyoruminyon/status/1115825972807446528,s_kajita,10.0,4.0,6.0
