,Date,URL,User,R+L,Retweets,Likes
0,2019-07-19 10:37:36,https://twitter.com/minyoruminyon/status/1152029690661494784,sh1mc,0.0,0.0,0.0
1,2019-07-16 15:54:05,https://twitter.com/minyoruminyon/status/1151022171117850625,sh1mc,3.0,1.0,2.0
2,2019-07-14 13:09:37,https://twitter.com/minyoruminyon/status/1150256006800109568,sh1mc,9.0,2.0,7.0
3,2019-07-13 10:57:24,https://twitter.com/minyoruminyon/status/1149860346569478144,sh1mc,0.0,0.0,0.0
4,2019-07-01 12:28:41,https://twitter.com/minyoruminyon/status/1145534662539825152,sh1mc,1.0,0.0,1.0
5,2019-06-30 19:55:12,https://twitter.com/minyoruminyon/status/1145284645669310465,sh1mc,3.0,1.0,2.0
6,2019-06-17 10:57:33,https://twitter.com/minyoruminyon/status/1140438299468677121,sh1mc,0.0,0.0,0.0
7,2019-06-10 21:49:44,https://twitter.com/minyoruminyon/status/1138065709697601536,sh1mc,0.0,0.0,0.0
8,2019-06-08 21:31:12,https://twitter.com/minyoruminyon/status/1137336272177942528,sh1mc,1.0,0.0,1.0
9,2019-06-08 01:01:32,https://twitter.com/minyoruminyon/status/1137026813916459008,sh1mc,3.0,1.0,2.0
10,2019-06-08 00:59:32,https://twitter.com/minyoruminyon/status/1137026310696361984,sh1mc,0.0,0.0,0.0
11,2019-06-08 00:58:41,https://twitter.com/minyoruminyon/status/1137026099316023296,sh1mc,1.0,0.0,1.0
12,2019-06-08 00:51:51,https://twitter.com/minyoruminyon/status/1137024378023972864,sh1mc,3.0,1.0,2.0
13,2019-06-07 13:28:14,https://twitter.com/minyoruminyon/status/1136852343318671360,sh1mc,7.0,2.0,5.0
14,2019-06-07 13:19:54,https://twitter.com/minyoruminyon/status/1136850244002443266,sh1mc,1.0,0.0,1.0
15,2019-06-07 13:15:53,https://twitter.com/minyoruminyon/status/1136849231245766657,sh1mc,2.0,0.0,2.0
16,2019-06-07 13:12:35,https://twitter.com/minyoruminyon/status/1136848401901936640,sh1mc,0.0,0.0,0.0
17,2019-06-04 23:44:03,https://twitter.com/minyoruminyon/status/1135920152870998016,sh1mc,0.0,0.0,0.0
18,2019-06-04 23:28:45,https://twitter.com/minyoruminyon/status/1135916303544246272,sh1mc,0.0,0.0,0.0
19,2019-06-04 22:50:20,https://twitter.com/minyoruminyon/status/1135906635283542017,sh1mc,0.0,0.0,0.0
20,2019-06-04 08:47:14,https://twitter.com/minyoruminyon/status/1135694461441208320,sh1mc,6.0,2.0,4.0
21,2019-06-03 16:21:45,https://twitter.com/minyoruminyon/status/1135446457803083776,sh1mc,5.0,1.0,4.0
22,2019-06-03 10:36:35,https://twitter.com/minyoruminyon/status/1135359591569428481,sh1mc,2.0,1.0,1.0
23,2019-06-03 10:09:33,https://twitter.com/minyoruminyon/status/1135352789633122305,sh1mc,9.0,1.0,8.0
