,Date,URL,User,R+L,Retweets,Likes
0,2020-06-21 13:47:16,https://twitter.com/minyoruminyon/status/1274564520011128833,tacmasi,2.0,1.0,1.0
1,2020-06-21 13:39:24,https://twitter.com/minyoruminyon/status/1274562540199010305,tacmasi,8.0,1.0,7.0
2,2020-06-21 13:38:46,https://twitter.com/minyoruminyon/status/1274562379452280832,tacmasi,5.0,2.0,3.0
3,2020-05-11 17:08:06,https://twitter.com/minyoruminyon/status/1259757157811027968,tacmasi,2.0,1.0,1.0
4,2020-02-24 11:16:32,https://twitter.com/minyoruminyon/status/1231764819323179008,tacmasi,2.0,1.0,1.0
5,2020-01-10 10:03:46,https://twitter.com/minyoruminyon/status/1215439052414976001,tacmasi,3.0,1.0,2.0
6,2019-11-20 18:50:40,https://twitter.com/minyoruminyon/status/1197089867986923522,tacmasi,1.0,1.0,0.0
7,2019-11-20 18:50:08,https://twitter.com/minyoruminyon/status/1197089735325274112,tacmasi,1.0,1.0,0.0
8,2019-11-17 19:32:07,https://twitter.com/minyoruminyon/status/1196013137545199617,tacmasi,2.0,1.0,1.0
9,2019-10-31 23:28:39,https://twitter.com/minyoruminyon/status/1189912068167585793,tacmasi,0.0,0.0,0.0
10,2019-10-31 23:20:23,https://twitter.com/minyoruminyon/status/1189909990934380545,tacmasi,1.0,1.0,0.0
11,2019-09-28 19:25:09,https://twitter.com/minyoruminyon/status/1177891990370840576,tacmasi,0.0,0.0,0.0
12,2019-09-27 23:44:19,https://twitter.com/minyoruminyon/status/1177594822816718848,tacmasi,0.0,0.0,0.0
13,2019-09-26 22:28:31,https://twitter.com/minyoruminyon/status/1177213359470436352,tacmasi,2.0,1.0,1.0
14,2019-09-02 01:15:38,https://twitter.com/minyoruminyon/status/1168195722123939841,tacmasi,1.0,1.0,0.0
15,2019-08-15 11:39:35,https://twitter.com/minyoruminyon/status/1161829762874036224,tacmasi,2.0,1.0,1.0
16,2019-08-14 22:41:41,https://twitter.com/minyoruminyon/status/1161633995529965570,tacmasi,4.0,2.0,2.0
17,2019-08-13 19:55:40,https://twitter.com/minyoruminyon/status/1161229827359178752,tacmasi,0.0,0.0,0.0
18,2019-08-13 19:47:06,https://twitter.com/minyoruminyon/status/1161227672720039936,tacmasi,2.0,1.0,1.0
19,2019-08-13 11:40:31,https://twitter.com/minyoruminyon/status/1161105219809185792,tacmasi,1.0,1.0,0.0
20,2019-08-12 19:17:43,https://twitter.com/minyoruminyon/status/1160857892347473920,tacmasi,0.0,0.0,0.0
21,2019-08-12 10:51:41,https://twitter.com/minyoruminyon/status/1160730541605322752,tacmasi,1.0,0.0,1.0
22,2019-08-07 19:20:26,https://twitter.com/minyoruminyon/status/1159046635806085120,tacmasi,1.0,1.0,0.0
23,2019-08-04 21:46:22,https://twitter.com/minyoruminyon/status/1157996198839537664,tacmasi,1.0,0.0,1.0
24,2019-08-04 21:43:34,https://twitter.com/minyoruminyon/status/1157995493063942144,tacmasi,1.0,0.0,1.0
25,2019-08-03 13:34:53,https://twitter.com/minyoruminyon/status/1157510125105455105,tacmasi,2.0,1.0,1.0
26,2019-07-28 17:23:36,https://twitter.com/minyoruminyon/status/1155393355288760321,tacmasi,0.0,0.0,0.0
27,2019-07-24 20:36:28,https://twitter.com/minyoruminyon/status/1153992339712425984,tacmasi,1.0,0.0,1.0
28,2019-07-24 17:56:05,https://twitter.com/minyoruminyon/status/1153951977849552896,tacmasi,6.0,4.0,2.0
29,2019-07-24 17:54:12,https://twitter.com/minyoruminyon/status/1153951504300040192,tacmasi,0.0,0.0,0.0
30,2019-07-20 13:01:07,https://twitter.com/minyoruminyon/status/1152428197163573253,tacmasi,5.0,1.0,4.0
31,2019-07-19 21:31:40,https://twitter.com/minyoruminyon/status/1152194291483025414,tacmasi,2.0,1.0,1.0
32,2019-07-15 10:03:48,https://twitter.com/minyoruminyon/status/1150571632013873152,tacmasi,6.0,2.0,4.0
33,2019-07-14 11:24:12,https://twitter.com/minyoruminyon/status/1150229480176119808,tacmasi,1.0,1.0,0.0
34,2019-07-14 11:22:18,https://twitter.com/minyoruminyon/status/1150228999626317825,tacmasi,3.0,2.0,1.0
35,2019-07-12 20:15:23,https://twitter.com/minyoruminyon/status/1149638379107020800,tacmasi,2.0,1.0,1.0
36,2019-07-11 23:44:24,https://twitter.com/minyoruminyon/status/1149328590795726848,tacmasi,11.0,2.0,9.0
37,2019-07-11 19:34:58,https://twitter.com/minyoruminyon/status/1149265821497040896,tacmasi,2.0,0.0,2.0
38,2019-07-11 19:34:06,https://twitter.com/minyoruminyon/status/1149265600742510592,tacmasi,2.0,0.0,2.0
39,2019-07-10 12:49:19,https://twitter.com/minyoruminyon/status/1148801349041000448,tacmasi,5.0,3.0,2.0
40,2019-07-10 10:40:07,https://twitter.com/minyoruminyon/status/1148768832686718976,tacmasi,5.0,1.0,4.0
41,2019-07-09 12:02:20,https://twitter.com/minyoruminyon/status/1148427136505487360,tacmasi,2.0,1.0,1.0
42,2019-07-08 14:49:42,https://twitter.com/minyoruminyon/status/1148106865621925888,tacmasi,4.0,1.0,3.0
43,2019-07-08 12:15:28,https://twitter.com/minyoruminyon/status/1148068051868274689,tacmasi,6.0,2.0,4.0
44,2019-07-08 12:14:30,https://twitter.com/minyoruminyon/status/1148067809307443200,tacmasi,0.0,0.0,0.0
45,2019-07-07 19:21:39,https://twitter.com/minyoruminyon/status/1147812915338027010,tacmasi,2.0,1.0,1.0
46,2019-07-07 11:31:49,https://twitter.com/minyoruminyon/status/1147694680756219906,tacmasi,3.0,1.0,2.0
47,2019-07-07 11:30:02,https://twitter.com/minyoruminyon/status/1147694230531268608,tacmasi,3.0,1.0,2.0
48,2019-07-06 10:56:36,https://twitter.com/minyoruminyon/status/1147323430250799106,tacmasi,8.0,2.0,6.0
49,2019-07-05 19:16:21,https://twitter.com/minyoruminyon/status/1147086808041152512,tacmasi,2.0,1.0,1.0
50,2019-07-05 19:11:15,https://twitter.com/minyoruminyon/status/1147085523116146688,tacmasi,5.0,2.0,3.0
51,2019-07-05 19:10:42,https://twitter.com/minyoruminyon/status/1147085386960605185,tacmasi,0.0,0.0,0.0
52,2019-07-05 19:09:12,https://twitter.com/minyoruminyon/status/1147085010152742912,tacmasi,0.0,0.0,0.0
53,2019-07-05 19:07:55,https://twitter.com/minyoruminyon/status/1147084686205734912,tacmasi,0.0,0.0,0.0
54,2019-07-04 16:32:37,https://twitter.com/minyoruminyon/status/1146683214880133120,tacmasi,0.0,0.0,0.0
55,2019-07-04 16:06:16,https://twitter.com/minyoruminyon/status/1146676582087417856,tacmasi,2.0,1.0,1.0
56,2019-07-04 15:57:01,https://twitter.com/minyoruminyon/status/1146674256450711552,tacmasi,1.0,0.0,1.0
57,2019-07-04 15:50:18,https://twitter.com/minyoruminyon/status/1146672567706480640,tacmasi,5.0,1.0,4.0
58,2019-07-04 15:45:58,https://twitter.com/minyoruminyon/status/1146671473798422529,tacmasi,61.0,26.0,35.0
59,2019-07-03 23:12:32,https://twitter.com/minyoruminyon/status/1146421469968121856,tacmasi,3.0,1.0,2.0
60,2019-07-03 19:36:10,https://twitter.com/minyoruminyon/status/1146367020134330368,tacmasi,3.0,2.0,1.0
61,2019-07-01 18:35:51,https://twitter.com/minyoruminyon/status/1145627064873041921,tacmasi,1.0,0.0,1.0
62,2019-06-30 19:55:01,https://twitter.com/minyoruminyon/status/1145284600618340352,tacmasi,3.0,1.0,2.0
63,2019-06-30 17:58:11,https://twitter.com/minyoruminyon/status/1145255196462743553,tacmasi,2.0,1.0,1.0
64,2019-06-30 16:02:31,https://twitter.com/minyoruminyon/status/1145226090505367552,tacmasi,0.0,0.0,0.0
65,2019-06-30 15:59:07,https://twitter.com/minyoruminyon/status/1145225234049429505,tacmasi,2.0,1.0,1.0
66,2019-06-29 23:48:12,https://twitter.com/minyoruminyon/status/1144980893292875776,tacmasi,8.0,3.0,5.0
67,2019-06-29 23:24:41,https://twitter.com/minyoruminyon/status/1144974974458839040,tacmasi,7.0,3.0,4.0
68,2019-06-29 23:21:58,https://twitter.com/minyoruminyon/status/1144974294063042566,tacmasi,1.0,0.0,1.0
69,2019-06-29 19:14:30,https://twitter.com/minyoruminyon/status/1144912016252870656,tacmasi,2.0,1.0,1.0
70,2019-06-29 17:25:57,https://twitter.com/minyoruminyon/status/1144884696418963456,tacmasi,2.0,1.0,1.0
71,2019-06-29 17:21:58,https://twitter.com/minyoruminyon/status/1144883695922249728,tacmasi,2.0,0.0,2.0
72,2019-06-29 15:00:07,https://twitter.com/minyoruminyon/status/1144847997458513924,tacmasi,1.0,0.0,1.0
73,2019-06-29 14:56:56,https://twitter.com/minyoruminyon/status/1144847195750801415,tacmasi,0.0,0.0,0.0
74,2019-06-29 11:53:05,https://twitter.com/minyoruminyon/status/1144800929989791744,tacmasi,14.0,6.0,8.0
75,2019-06-29 11:51:16,https://twitter.com/minyoruminyon/status/1144800471770513408,tacmasi,2.0,1.0,1.0
76,2019-06-29 10:17:26,https://twitter.com/minyoruminyon/status/1144776858422018048,tacmasi,8.0,4.0,4.0
77,2019-06-28 21:52:44,https://twitter.com/minyoruminyon/status/1144589447964446721,tacmasi,4.0,1.0,3.0
78,2019-06-28 21:42:11,https://twitter.com/minyoruminyon/status/1144586793863602177,tacmasi,2.0,0.0,2.0
79,2019-06-28 21:40:10,https://twitter.com/minyoruminyon/status/1144586283651440641,tacmasi,0.0,0.0,0.0
80,2019-06-28 19:25:35,https://twitter.com/minyoruminyon/status/1144552414428577792,tacmasi,4.0,2.0,2.0
81,2019-06-28 16:40:35,https://twitter.com/minyoruminyon/status/1144510894119911424,tacmasi,3.0,2.0,1.0
82,2019-06-28 16:39:31,https://twitter.com/minyoruminyon/status/1144510625072107520,tacmasi,0.0,0.0,0.0
83,2019-06-28 16:34:11,https://twitter.com/minyoruminyon/status/1144509280344612866,tacmasi,1.0,0.0,1.0
84,2019-06-28 16:33:32,https://twitter.com/minyoruminyon/status/1144509119291748352,tacmasi,0.0,0.0,0.0
85,2019-06-23 18:18:06,https://twitter.com/minyoruminyon/status/1142723494565670913,tacmasi,2.0,1.0,1.0
86,2019-06-18 15:09:01,https://twitter.com/minyoruminyon/status/1140863970980405248,tacmasi,4.0,1.0,3.0
87,2019-06-15 16:12:05,https://twitter.com/minyoruminyon/status/1139792676956491776,tacmasi,2.0,1.0,1.0
88,2019-06-15 16:10:37,https://twitter.com/minyoruminyon/status/1139792308717551618,tacmasi,2.0,1.0,1.0
89,2019-06-10 21:40:01,https://twitter.com/minyoruminyon/status/1138063266838564864,tacmasi,3.0,1.0,2.0
90,2019-06-09 22:09:05,https://twitter.com/minyoruminyon/status/1137708191553220610,tacmasi,4.0,2.0,2.0
91,2019-06-05 08:22:38,https://twitter.com/minyoruminyon/status/1136050658996391936,tacmasi,9.0,2.0,7.0
92,2019-06-05 08:20:26,https://twitter.com/minyoruminyon/status/1136050104689782784,tacmasi,0.0,0.0,0.0
93,2019-06-04 19:18:12,https://twitter.com/minyoruminyon/status/1135853250442170369,tacmasi,2.0,1.0,1.0
94,2019-06-04 19:06:49,https://twitter.com/minyoruminyon/status/1135850382968512514,tacmasi,2.0,1.0,1.0
95,2019-06-04 17:06:58,https://twitter.com/minyoruminyon/status/1135820225243299840,tacmasi,0.0,0.0,0.0
96,2019-06-03 17:54:08,https://twitter.com/minyoruminyon/status/1135469706834432000,tacmasi,3.0,2.0,1.0
97,2019-06-03 17:52:54,https://twitter.com/minyoruminyon/status/1135469396258779138,tacmasi,0.0,0.0,0.0
98,2019-06-03 17:51:25,https://twitter.com/minyoruminyon/status/1135469023989121024,tacmasi,5.0,1.0,4.0
99,2019-05-27 10:00:54,https://twitter.com/minyoruminyon/status/1132813899344990208,tacmasi,0.0,0.0,0.0
100,2019-05-24 12:37:35,https://twitter.com/minyoruminyon/status/1131766164131000320,tacmasi,2.0,1.0,1.0
101,2019-05-19 14:16:16,https://twitter.com/minyoruminyon/status/1129979059402711040,tacmasi,0.0,0.0,0.0
102,2019-05-19 14:12:11,https://twitter.com/minyoruminyon/status/1129978033144643585,tacmasi,0.0,0.0,0.0
103,2019-05-18 14:42:37,https://twitter.com/minyoruminyon/status/1129623304665325568,tacmasi,1.0,1.0,0.0
104,2019-05-18 10:42:40,https://twitter.com/minyoruminyon/status/1129562916477267968,tacmasi,2.0,1.0,1.0
105,2019-05-14 17:40:48,https://twitter.com/minyoruminyon/status/1128218590845386752,tacmasi,2.0,1.0,1.0
106,2019-05-13 19:13:31,https://twitter.com/minyoruminyon/status/1127879538954752000,tacmasi,1.0,0.0,1.0
107,2019-05-10 09:51:33,https://twitter.com/minyoruminyon/status/1126650948753825792,tacmasi,2.0,1.0,1.0
108,2019-05-10 09:51:14,https://twitter.com/minyoruminyon/status/1126650873189322752,tacmasi,0.0,0.0,0.0
