,Date,URL,User,R+L,Retweets,Likes
0,2019-07-21 14:06:50,https://twitter.com/minyoruminyon/status/1152807121039159296,takenoya_,1.0,0.0,1.0
1,2019-07-15 09:56:45,https://twitter.com/minyoruminyon/status/1150569858251153409,takenoya_,1.0,0.0,1.0
2,2019-07-07 23:48:58,https://twitter.com/minyoruminyon/status/1147880191932297223,takenoya_,0.0,0.0,0.0
3,2019-07-07 23:47:40,https://twitter.com/minyoruminyon/status/1147879861324673024,takenoya_,4.0,1.0,3.0
4,2019-06-28 02:55:02,https://twitter.com/minyoruminyon/status/1144303136028291072,takenoya_,2.0,1.0,1.0
5,2019-06-24 23:38:28,https://twitter.com/minyoruminyon/status/1143166506877870082,takenoya_,1.0,0.0,1.0
6,2019-06-24 23:37:42,https://twitter.com/minyoruminyon/status/1143166313633734656,takenoya_,5.0,1.0,4.0
7,2019-06-06 08:13:22,https://twitter.com/minyoruminyon/status/1136410714392842240,takenoya_,2.0,0.0,2.0
8,2019-06-01 21:42:26,https://twitter.com/minyoruminyon/status/1134802383941148672,takenoya_,0.0,0.0,0.0
9,2019-05-30 19:37:28,https://twitter.com/minyoruminyon/status/1134046158819454976,takenoya_,4.0,2.0,2.0
10,2019-05-27 11:48:12,https://twitter.com/minyoruminyon/status/1132840899161931776,takenoya_,0.0,0.0,0.0
11,2019-05-27 11:42:50,https://twitter.com/minyoruminyon/status/1132839549413969920,takenoya_,1.0,0.0,1.0
12,2019-05-16 12:46:03,https://twitter.com/minyoruminyon/status/1128869192881430529,takenoya_,2.0,1.0,1.0
13,2019-05-16 12:45:31,https://twitter.com/minyoruminyon/status/1128869059942989824,takenoya_,0.0,0.0,0.0
14,2019-05-10 08:39:48,https://twitter.com/minyoruminyon/status/1126632895685091330,takenoya_,3.0,2.0,1.0
15,2019-04-08 00:10:18,https://twitter.com/minyoruminyon/status/1114908262913138689,takenoya_,6.0,0.0,6.0
16,2019-04-02 12:45:59,https://twitter.com/minyoruminyon/status/1112924109174763520,takenoya_,2.0,0.0,2.0
17,2019-03-17 13:10:52,https://twitter.com/minyoruminyon/status/1107132164485738496,takenoya_,0.0,0.0,0.0
18,2018-07-30 13:01:08,https://twitter.com/minyoruminyon/status/1023780509216731136,takenoya_,1.0,0.0,1.0
19,2018-07-13 22:39:13,https://twitter.com/minyoruminyon/status/1017765390875746304,takenoya_,4.0,3.0,1.0
20,2018-07-13 22:36:10,https://twitter.com/minyoruminyon/status/1017764626514079745,takenoya_,12.0,6.0,6.0
21,2018-07-09 15:09:24,https://twitter.com/minyoruminyon/status/1016202639954939905,takenoya_,2.0,1.0,1.0
22,2018-07-09 15:07:38,https://twitter.com/minyoruminyon/status/1016202195291656192,takenoya_,0.0,0.0,0.0
23,2018-07-09 15:05:34,https://twitter.com/minyoruminyon/status/1016201676783403008,takenoya_,2.0,0.0,2.0
24,2018-07-07 14:20:52,https://twitter.com/minyoruminyon/status/1015465649949196288,takenoya_,2.0,1.0,1.0
25,2018-07-07 00:02:18,https://twitter.com/minyoruminyon/status/1015249585999044608,takenoya_,9.0,5.0,4.0
26,2018-07-06 22:19:09,https://twitter.com/minyoruminyon/status/1015223629892628481,takenoya_,0.0,0.0,0.0
27,2018-07-06 01:31:55,https://twitter.com/minyoruminyon/status/1014909751010865152,takenoya_,0.0,0.0,0.0
28,2018-06-27 21:58:27,https://twitter.com/minyoruminyon/status/1011956928170192896,takenoya_,2.0,0.0,2.0
29,2018-06-27 21:51:00,https://twitter.com/minyoruminyon/status/1011955053920305153,takenoya_,1.0,1.0,0.0
30,2018-06-21 22:44:03,https://twitter.com/minyoruminyon/status/1009794077129240578,takenoya_,2.0,1.0,1.0
31,2018-06-21 01:12:57,https://twitter.com/minyoruminyon/status/1009469161330782208,takenoya_,1.0,1.0,0.0
32,2018-06-20 16:18:14,https://twitter.com/minyoruminyon/status/1009334595928539137,takenoya_,0.0,0.0,0.0
