,Date,URL,User,R+L,Retweets,Likes
0,2020-06-18 04:14:55,https://twitter.com/minyoruminyon/status/1273333320764387328,yuina_blend,2.0,1.0,1.0
1,2020-06-18 04:04:37,https://twitter.com/minyoruminyon/status/1273330729405956096,yuina_blend,5.0,2.0,3.0
2,2020-02-10 10:25:03,https://twitter.com/minyoruminyon/status/1226678432836116481,yuina_blend,3.0,1.0,2.0
3,2020-02-07 12:45:30,https://twitter.com/minyoruminyon/status/1225626615138308096,yuina_blend,3.0,1.0,2.0
4,2020-02-05 11:35:41,https://twitter.com/minyoruminyon/status/1224884269035614208,yuina_blend,3.0,1.0,2.0
5,2020-02-04 12:54:34,https://twitter.com/minyoruminyon/status/1224541732097781760,yuina_blend,7.0,3.0,4.0
6,2020-02-04 12:53:37,https://twitter.com/minyoruminyon/status/1224541493777465344,yuina_blend,5.0,1.0,4.0
7,2020-02-02 09:40:53,https://twitter.com/minyoruminyon/status/1223768216377282560,yuina_blend,1.0,1.0,0.0
8,2020-02-01 16:44:38,https://twitter.com/minyoruminyon/status/1223512466312720386,yuina_blend,2.0,2.0,0.0
9,2020-02-01 16:37:04,https://twitter.com/minyoruminyon/status/1223510560773308416,yuina_blend,7.0,2.0,5.0
10,2020-02-01 12:20:41,https://twitter.com/minyoruminyon/status/1223446043510984705,yuina_blend,1.0,1.0,0.0
11,2020-02-01 12:17:47,https://twitter.com/minyoruminyon/status/1223445311248424960,yuina_blend,2.0,1.0,1.0
12,2020-01-31 11:37:40,https://twitter.com/minyoruminyon/status/1223072827776978945,yuina_blend,2.0,1.0,1.0
13,2020-01-31 11:35:12,https://twitter.com/minyoruminyon/status/1223072208332812288,yuina_blend,3.0,1.0,2.0
14,2020-01-31 07:42:05,https://twitter.com/minyoruminyon/status/1223013541604577280,yuina_blend,24.0,6.0,18.0
15,2020-01-31 07:10:09,https://twitter.com/minyoruminyon/status/1223005505460686848,yuina_blend,9.0,4.0,5.0
16,2020-01-31 01:18:45,https://twitter.com/minyoruminyon/status/1222917071173906432,yuina_blend,6.0,2.0,4.0
