,Date,URL,User,R+L,Retweets,Likes
0,2021-04-14 23:47:49,https://twitter.com/minyoruminyon/status/1382344847881752580,0xerrebyc,2.0,1.0,1.0
1,2020-11-05 18:00:43,https://twitter.com/minyoruminyon/status/1324275441302003713,0xerrebyc,13.0,4.0,9.0
2,2020-10-31 20:55:05,https://twitter.com/minyoruminyon/status/1322507383361335299,0xerrebyc,0.0,0.0,0.0
3,2020-10-31 07:55:42,https://twitter.com/minyoruminyon/status/1322311245031071744,0xerrebyc,0.0,0.0,0.0
4,2020-10-23 18:35:40,https://twitter.com/minyoruminyon/status/1319573193879777281,0xerrebyc,0.0,0.0,0.0
5,2020-10-22 18:53:53,https://twitter.com/minyoruminyon/status/1319215389679628289,0xerrebyc,2.0,1.0,1.0
6,2020-10-21 21:44:17,https://twitter.com/minyoruminyon/status/1318895886257115138,0xerrebyc,0.0,0.0,0.0
7,2020-10-21 19:01:43,https://twitter.com/minyoruminyon/status/1318854973921263616,0xerrebyc,14.0,3.0,11.0
8,2020-10-19 18:21:11,https://twitter.com/minyoruminyon/status/1318119995805630465,0xerrebyc,15.0,5.0,10.0
9,2020-10-17 08:34:56,https://twitter.com/minyoruminyon/status/1317247685615775744,0xerrebyc,4.0,1.0,3.0
10,2020-10-16 16:45:15,https://twitter.com/minyoruminyon/status/1317008690499579904,0xerrebyc,5.0,1.0,4.0
11,2020-10-15 07:30:49,https://twitter.com/minyoruminyon/status/1316506777664380928,0xerrebyc,5.0,2.0,3.0
12,2020-10-14 22:30:43,https://twitter.com/minyoruminyon/status/1316370853341270017,0xerrebyc,5.0,1.0,4.0
13,2020-10-14 07:56:31,https://twitter.com/minyoruminyon/status/1316150856505409536,0xerrebyc,7.0,2.0,5.0
14,2020-10-13 21:42:03,https://twitter.com/minyoruminyon/status/1315996220804849665,0xerrebyc,0.0,0.0,0.0
15,2020-10-13 21:35:29,https://twitter.com/minyoruminyon/status/1315994566554578944,0xerrebyc,4.0,1.0,3.0
16,2020-10-13 21:25:48,https://twitter.com/minyoruminyon/status/1315992129315852290,0xerrebyc,4.0,1.0,3.0
17,2020-10-13 20:56:42,https://twitter.com/minyoruminyon/status/1315984805855518721,0xerrebyc,5.0,2.0,3.0
18,2020-10-13 20:47:38,https://twitter.com/minyoruminyon/status/1315982523810246657,0xerrebyc,4.0,1.0,3.0
19,2020-10-13 12:32:48,https://twitter.com/minyoruminyon/status/1315857996291825664,0xerrebyc,2.0,1.0,1.0
20,2020-10-12 22:41:31,https://twitter.com/minyoruminyon/status/1315648795821056001,0xerrebyc,2.0,0.0,2.0
21,2020-10-12 22:37:38,https://twitter.com/minyoruminyon/status/1315647822054608898,0xerrebyc,2.0,1.0,1.0
22,2020-10-12 21:51:56,https://twitter.com/minyoruminyon/status/1315636320669106177,0xerrebyc,0.0,0.0,0.0
23,2020-10-12 21:50:49,https://twitter.com/minyoruminyon/status/1315636036916056064,0xerrebyc,0.0,0.0,0.0
24,2020-10-12 21:42:32,https://twitter.com/minyoruminyon/status/1315633952208551937,0xerrebyc,0.0,0.0,0.0
25,2020-10-10 22:43:06,https://twitter.com/minyoruminyon/status/1314924420817850368,0xerrebyc,2.0,1.0,1.0
26,2020-10-10 22:42:24,https://twitter.com/minyoruminyon/status/1314924243528814593,0xerrebyc,2.0,1.0,1.0
27,2020-10-08 16:36:40,https://twitter.com/minyoruminyon/status/1314107429357981696,0xerrebyc,1.0,0.0,1.0
28,2020-10-08 16:30:03,https://twitter.com/minyoruminyon/status/1314105764487729153,0xerrebyc,0.0,0.0,0.0
29,2020-10-07 22:56:57,https://twitter.com/minyoruminyon/status/1313840741433577472,0xerrebyc,1.0,0.0,1.0
30,2020-10-07 22:35:09,https://twitter.com/minyoruminyon/status/1313835257100083201,0xerrebyc,0.0,0.0,0.0
31,2020-10-07 21:15:05,https://twitter.com/minyoruminyon/status/1313815105469988864,0xerrebyc,1.0,1.0,0.0
32,2020-10-02 21:01:43,https://twitter.com/minyoruminyon/status/1311999804495466498,0xerrebyc,1.0,0.0,1.0
33,2020-10-02 20:59:44,https://twitter.com/minyoruminyon/status/1311999304178032641,0xerrebyc,0.0,0.0,0.0
34,2020-10-02 20:52:42,https://twitter.com/minyoruminyon/status/1311997535867731973,0xerrebyc,1.0,0.0,1.0
35,2020-09-30 17:40:57,https://twitter.com/minyoruminyon/status/1311224504761212930,0xerrebyc,7.0,3.0,4.0
36,2020-09-24 23:41:13,https://twitter.com/minyoruminyon/status/1309140841663995905,0xerrebyc,3.0,0.0,3.0
37,2020-09-21 11:28:19,https://twitter.com/minyoruminyon/status/1307869236128133120,0xerrebyc,2.0,0.0,2.0
38,2020-09-21 10:53:37,https://twitter.com/minyoruminyon/status/1307860502286987266,0xerrebyc,1.0,0.0,1.0
39,2020-09-21 10:49:40,https://twitter.com/minyoruminyon/status/1307859508236922882,0xerrebyc,0.0,0.0,0.0
40,2020-09-19 19:32:11,https://twitter.com/minyoruminyon/status/1307266227316781057,0xerrebyc,5.0,1.0,4.0
41,2020-09-19 17:29:12,https://twitter.com/minyoruminyon/status/1307235280626135040,0xerrebyc,5.0,2.0,3.0
42,2020-09-18 20:05:56,https://twitter.com/minyoruminyon/status/1306912334309253121,0xerrebyc,5.0,2.0,3.0
43,2020-09-18 20:02:20,https://twitter.com/minyoruminyon/status/1306911429161705472,0xerrebyc,2.0,0.0,2.0
44,2020-09-18 18:37:51,https://twitter.com/minyoruminyon/status/1306890167391641600,0xerrebyc,2.0,0.0,2.0
