,Date,URL,User,R+L,Retweets,Likes
0,2020-09-06 08:36:32,https://twitter.com/minyoruminyon/status/1302390186932711426,NoSukepoke,8.0,4.0,4.0
1,2020-05-07 10:12:57,https://twitter.com/minyoruminyon/status/1258203131990568960,NoSukepoke,21.0,9.0,12.0
2,2020-04-18 12:11:58,https://twitter.com/minyoruminyon/status/1251347714983333888,NoSukepoke,2.0,1.0,1.0
3,2020-04-18 12:10:36,https://twitter.com/minyoruminyon/status/1251347369888636929,NoSukepoke,22.0,7.0,15.0
4,2020-02-06 10:01:48,https://twitter.com/minyoruminyon/status/1225223030990757889,NoSukepoke,5.0,2.0,3.0
5,2020-01-30 11:07:17,https://twitter.com/minyoruminyon/status/1222702794655690752,NoSukepoke,0.0,0.0,0.0
6,2020-01-22 09:50:39,https://twitter.com/minyoruminyon/status/1219784406761492480,NoSukepoke,16.0,8.0,8.0
7,2020-01-15 22:09:32,https://twitter.com/minyoruminyon/status/1217433637215338496,NoSukepoke,3.0,2.0,1.0
8,2020-01-14 16:30:40,https://twitter.com/minyoruminyon/status/1216985971784159232,NoSukepoke,1.0,1.0,0.0
9,2020-01-14 14:31:15,https://twitter.com/minyoruminyon/status/1216955916722950145,NoSukepoke,8.0,2.0,6.0
10,2020-01-13 20:00:18,https://twitter.com/minyoruminyon/status/1216676337160605696,NoSukepoke,2.0,2.0,0.0
11,2020-01-13 19:59:45,https://twitter.com/minyoruminyon/status/1216676200262688769,NoSukepoke,2.0,1.0,1.0
