,Date,URL,User,R+L,Retweets,Likes
0,2021-06-26 13:37:01,https://twitter.com/minyoruminyon/status/1408645451851526144,RCAVictorCo,1.0,1.0,0.0
1,2021-06-26 13:36:09,https://twitter.com/minyoruminyon/status/1408645231138938885,RCAVictorCo,663.0,502.0,161.0
2,2021-04-19 18:05:33,https://twitter.com/minyoruminyon/status/1384070654132056073,RCAVictorCo,1.0,1.0,0.0
3,2020-09-27 17:32:54,https://twitter.com/minyoruminyon/status/1310135312127897600,RCAVictorCo,2.0,2.0,0.0
4,2020-08-04 14:48:38,https://twitter.com/minyoruminyon/status/1290525029352869888,RCAVictorCo,5.0,2.0,3.0
5,2020-02-25 18:08:16,https://twitter.com/minyoruminyon/status/1232230824474398720,RCAVictorCo,1.0,1.0,0.0
6,2020-02-08 21:39:59,https://twitter.com/minyoruminyon/status/1226123507056033792,RCAVictorCo,1.0,1.0,0.0
7,2020-02-04 13:39:45,https://twitter.com/minyoruminyon/status/1224553104751788032,RCAVictorCo,0.0,0.0,0.0
8,2020-02-02 21:33:44,https://twitter.com/minyoruminyon/status/1223947608902647808,RCAVictorCo,1.0,0.0,1.0
9,2020-02-01 20:58:04,https://twitter.com/minyoruminyon/status/1223576245889167360,RCAVictorCo,2.0,1.0,1.0
10,2020-02-01 20:57:12,https://twitter.com/minyoruminyon/status/1223576026531291136,RCAVictorCo,1.0,0.0,1.0
11,2020-02-01 02:14:30,https://twitter.com/minyoruminyon/status/1223293490148167681,RCAVictorCo,1.0,1.0,0.0
12,2020-01-31 22:48:39,https://twitter.com/minyoruminyon/status/1223241688237240321,RCAVictorCo,2.0,1.0,1.0
13,2020-01-31 17:28:04,https://twitter.com/minyoruminyon/status/1223161007767339008,RCAVictorCo,1.0,1.0,0.0
14,2020-01-31 14:46:23,https://twitter.com/minyoruminyon/status/1223120318417391621,RCAVictorCo,2.0,1.0,1.0
15,2020-01-31 14:43:10,https://twitter.com/minyoruminyon/status/1223119511034843136,RCAVictorCo,1.0,1.0,0.0
16,2020-01-31 14:35:23,https://twitter.com/minyoruminyon/status/1223117552097742848,RCAVictorCo,0.0,0.0,0.0
17,2020-01-31 14:34:18,https://twitter.com/minyoruminyon/status/1223117280097099781,RCAVictorCo,2.0,1.0,1.0
18,2020-01-31 14:32:09,https://twitter.com/minyoruminyon/status/1223116737865846787,RCAVictorCo,1.0,1.0,0.0
19,2020-01-30 18:40:04,https://twitter.com/minyoruminyon/status/1222816742424006656,RCAVictorCo,2.0,1.0,1.0
20,2020-01-30 18:25:26,https://twitter.com/minyoruminyon/status/1222813056809332737,RCAVictorCo,0.0,0.0,0.0
21,2020-01-30 18:23:59,https://twitter.com/minyoruminyon/status/1222812692852854784,RCAVictorCo,0.0,0.0,0.0
22,2020-01-30 17:59:31,https://twitter.com/minyoruminyon/status/1222806534725365762,RCAVictorCo,3.0,2.0,1.0
