,Date,URL,User,R+L,Retweets,Likes
0,2021-08-08 21:00:58,https://twitter.com/minyoruminyon/status/1424339851801808908,ant2357,65.0,25.0,40.0
1,2021-08-08 18:24:00,https://twitter.com/minyoruminyon/status/1424300352669552643,ant2357,12.0,5.0,7.0
2,2021-07-31 21:17:04,https://twitter.com/minyoruminyon/status/1421444800885137413,ant2357,5.0,2.0,3.0
3,2021-07-31 21:11:25,https://twitter.com/minyoruminyon/status/1421443381268344834,ant2357,1.0,1.0,0.0
4,2021-07-31 20:57:13,https://twitter.com/minyoruminyon/status/1421439805095759875,ant2357,9.0,2.0,7.0
5,2021-07-27 19:58:37,https://twitter.com/minyoruminyon/status/1419975508217925637,ant2357,33.0,7.0,26.0
6,2021-07-27 19:55:36,https://twitter.com/minyoruminyon/status/1419974746486185987,ant2357,2.0,2.0,0.0
7,2021-07-27 19:46:26,https://twitter.com/minyoruminyon/status/1419972442362023938,ant2357,10.0,3.0,7.0
8,2021-07-27 19:44:19,https://twitter.com/minyoruminyon/status/1419971907017871360,ant2357,2.0,2.0,0.0
9,2021-07-19 10:07:07,https://twitter.com/minyoruminyon/status/1416927548018102272,ant2357,4.0,3.0,1.0
10,2021-07-19 09:26:00,https://twitter.com/minyoruminyon/status/1416917199629918208,ant2357,5.0,2.0,3.0
11,2021-07-19 02:14:43,https://twitter.com/minyoruminyon/status/1416808666888511488,ant2357,2.0,1.0,1.0
12,2021-07-03 23:59:09,https://twitter.com/minyoruminyon/status/1411338732360196096,ant2357,2.0,1.0,1.0
13,2021-07-03 23:54:18,https://twitter.com/minyoruminyon/status/1411337509968048128,ant2357,8.0,1.0,7.0
14,2021-07-01 22:23:52,https://twitter.com/minyoruminyon/status/1410589974236332032,ant2357,7.0,1.0,6.0
15,2021-07-01 22:22:23,https://twitter.com/minyoruminyon/status/1410589603937931272,ant2357,1.0,1.0,0.0
16,2021-06-21 14:02:54,https://twitter.com/minyoruminyon/status/1406840026181165060,ant2357,3.0,1.0,2.0
17,2021-06-21 13:54:16,https://twitter.com/minyoruminyon/status/1406837851694661635,ant2357,3.0,2.0,1.0
18,2021-06-21 13:41:01,https://twitter.com/minyoruminyon/status/1406834517894070274,ant2357,0.0,0.0,0.0
19,2021-06-19 21:51:12,https://twitter.com/minyoruminyon/status/1406233100728737799,ant2357,7.0,2.0,5.0
20,2021-06-14 14:04:59,https://twitter.com/minyoruminyon/status/1404303835288330248,ant2357,14.0,5.0,9.0
21,2021-06-14 13:48:02,https://twitter.com/minyoruminyon/status/1404299569991622657,ant2357,0.0,0.0,0.0
