,Date,URL,User,R+L,Retweets,Likes
0,2021-07-25 20:09:49,https://twitter.com/minyoruminyon/status/1419253552271089672,blacknon_,9.0,4.0,5.0
1,2021-07-24 15:53:36,https://twitter.com/minyoruminyon/status/1418826682228695046,blacknon_,5.0,2.0,3.0
2,2021-07-24 15:52:51,https://twitter.com/minyoruminyon/status/1418826496190423042,blacknon_,2.0,1.0,1.0
3,2021-07-23 15:29:26,https://twitter.com/minyoruminyon/status/1418458213221998595,blacknon_,6.0,2.0,4.0
4,2021-07-14 13:44:52,https://twitter.com/minyoruminyon/status/1415170408945393677,blacknon_,0.0,0.0,0.0
5,2021-07-02 18:41:55,https://twitter.com/minyoruminyon/status/1410896509185323008,blacknon_,2.0,1.0,1.0
6,2021-06-26 18:00:20,https://twitter.com/minyoruminyon/status/1408711718159536129,blacknon_,4.0,1.0,3.0
7,2021-06-26 17:59:22,https://twitter.com/minyoruminyon/status/1408711474780901388,blacknon_,3.0,0.0,3.0
8,2021-06-26 15:47:19,https://twitter.com/minyoruminyon/status/1408678240483364866,blacknon_,13.0,6.0,7.0
9,2021-06-26 15:28:31,https://twitter.com/minyoruminyon/status/1408673511132995589,blacknon_,9.0,3.0,6.0
10,2021-06-26 15:27:37,https://twitter.com/minyoruminyon/status/1408673284988624896,blacknon_,1.0,0.0,1.0
11,2021-06-26 14:24:14,https://twitter.com/minyoruminyon/status/1408657332758749184,blacknon_,4.0,2.0,2.0
12,2021-06-26 14:10:16,https://twitter.com/minyoruminyon/status/1408653819102208001,blacknon_,4.0,1.0,3.0
13,2021-06-26 14:06:24,https://twitter.com/minyoruminyon/status/1408652846111682562,blacknon_,0.0,0.0,0.0
14,2021-06-26 14:00:23,https://twitter.com/minyoruminyon/status/1408651332446162949,blacknon_,1.0,1.0,0.0
15,2021-06-26 13:44:21,https://twitter.com/minyoruminyon/status/1408647296120606721,blacknon_,0.0,0.0,0.0
16,2021-06-26 13:40:39,https://twitter.com/minyoruminyon/status/1408646366188933125,blacknon_,2.0,1.0,1.0
17,2021-06-26 13:38:20,https://twitter.com/minyoruminyon/status/1408645780697620480,blacknon_,7.0,3.0,4.0
18,2021-06-26 13:36:42,https://twitter.com/minyoruminyon/status/1408645369676787712,blacknon_,1.0,0.0,1.0
19,2021-06-26 13:35:09,https://twitter.com/minyoruminyon/status/1408644982467010566,blacknon_,0.0,0.0,0.0
20,2021-06-26 13:18:46,https://twitter.com/minyoruminyon/status/1408640858698620931,blacknon_,2.0,1.0,1.0
21,2021-06-26 13:14:24,https://twitter.com/minyoruminyon/status/1408639758142611457,blacknon_,1.0,0.0,1.0
22,2021-06-06 23:55:02,https://twitter.com/minyoruminyon/status/1401553220669886466,blacknon_,6.0,3.0,3.0
23,2021-06-05 21:23:28,https://twitter.com/minyoruminyon/status/1401152693054230531,blacknon_,4.0,2.0,2.0
24,2021-05-31 21:29:04,https://twitter.com/minyoruminyon/status/1399342162366517256,blacknon_,9.0,3.0,6.0
25,2021-05-31 20:38:16,https://twitter.com/minyoruminyon/status/1399329375552634883,blacknon_,5.0,2.0,3.0
26,2021-05-31 20:25:39,https://twitter.com/minyoruminyon/status/1399326202158931969,blacknon_,0.0,0.0,0.0
27,2021-05-25 22:04:33,https://twitter.com/minyoruminyon/status/1397176763071885314,blacknon_,4.0,2.0,2.0
28,2021-05-24 21:48:28,https://twitter.com/minyoruminyon/status/1396810327380029444,blacknon_,3.0,0.0,3.0
29,2021-05-20 00:30:19,https://twitter.com/minyoruminyon/status/1395039121425375233,blacknon_,13.0,4.0,9.0
30,2021-05-16 17:25:07,https://twitter.com/minyoruminyon/status/1393844950651916291,blacknon_,5.0,2.0,3.0
31,2021-05-08 18:55:55,https://twitter.com/minyoruminyon/status/1390968700602224646,blacknon_,1.0,1.0,0.0
32,2021-05-08 16:31:22,https://twitter.com/minyoruminyon/status/1390932323688804352,blacknon_,1.0,0.0,1.0
33,2021-05-08 15:15:21,https://twitter.com/minyoruminyon/status/1390913191366959104,blacknon_,0.0,0.0,0.0
34,2021-05-08 14:33:18,https://twitter.com/minyoruminyon/status/1390902607556734981,blacknon_,3.0,2.0,1.0
35,2021-05-05 22:44:28,https://twitter.com/minyoruminyon/status/1389939050073624577,blacknon_,31.0,11.0,20.0
36,2021-05-05 22:38:02,https://twitter.com/minyoruminyon/status/1389937434255712256,blacknon_,5.0,2.0,3.0
37,2021-05-03 17:09:16,https://twitter.com/minyoruminyon/status/1389129920060686340,blacknon_,23.0,10.0,13.0
38,2021-05-03 17:08:15,https://twitter.com/minyoruminyon/status/1389129664929562628,blacknon_,6.0,2.0,4.0
39,2021-04-11 23:00:19,https://twitter.com/minyoruminyon/status/1381245734045896708,blacknon_,5.0,1.0,4.0
40,2021-04-01 23:43:38,https://twitter.com/minyoruminyon/status/1377632755811446788,blacknon_,5.0,1.0,4.0
41,2021-03-30 22:57:13,https://twitter.com/minyoruminyon/status/1376896297383325698,blacknon_,11.0,6.0,5.0
42,2021-03-30 22:49:07,https://twitter.com/minyoruminyon/status/1376894260503486464,blacknon_,33.0,14.0,19.0
43,2021-03-27 12:33:26,https://twitter.com/minyoruminyon/status/1375652152337571841,blacknon_,23.0,5.0,18.0
44,2021-03-17 22:04:43,https://twitter.com/minyoruminyon/status/1372172043844657153,blacknon_,6.0,2.0,4.0
45,2021-03-17 22:04:07,https://twitter.com/minyoruminyon/status/1372171890526015492,blacknon_,0.0,0.0,0.0
46,2021-03-17 22:02:56,https://twitter.com/minyoruminyon/status/1372171593569374210,blacknon_,1.0,0.0,1.0
47,2021-03-17 21:57:03,https://twitter.com/minyoruminyon/status/1372170113726652416,blacknon_,0.0,0.0,0.0
48,2021-03-13 15:00:51,https://twitter.com/minyoruminyon/status/1370615823413350402,blacknon_,3.0,1.0,2.0
49,2021-03-10 20:49:23,https://twitter.com/minyoruminyon/status/1369616368966930435,blacknon_,4.0,1.0,3.0
50,2021-03-04 20:26:35,https://twitter.com/minyoruminyon/status/1367436306578509831,blacknon_,0.0,0.0,0.0
51,2021-03-01 23:58:51,https://twitter.com/minyoruminyon/status/1366402559196368902,blacknon_,1.0,0.0,1.0
52,2021-03-01 23:55:59,https://twitter.com/minyoruminyon/status/1366401837193072642,blacknon_,1.0,1.0,0.0
53,2021-02-20 13:41:39,https://twitter.com/minyoruminyon/status/1362985747469332483,blacknon_,0.0,0.0,0.0
54,2021-02-20 12:17:49,https://twitter.com/minyoruminyon/status/1362964650204090368,blacknon_,4.0,1.0,3.0
55,2021-02-14 22:02:14,https://twitter.com/minyoruminyon/status/1360937395751804928,blacknon_,12.0,3.0,9.0
56,2021-02-11 08:48:05,https://twitter.com/minyoruminyon/status/1359650377646239746,blacknon_,4.0,2.0,2.0
57,2021-01-30 22:12:39,https://twitter.com/minyoruminyon/status/1355504198171783168,blacknon_,2.0,0.0,2.0
58,2021-01-30 22:07:13,https://twitter.com/minyoruminyon/status/1355502829427810306,blacknon_,2.0,0.0,2.0
59,2021-01-29 19:31:57,https://twitter.com/minyoruminyon/status/1355101367904342017,blacknon_,42.0,12.0,30.0
60,2021-01-26 22:38:40,https://twitter.com/minyoruminyon/status/1354061193359413249,blacknon_,10.0,3.0,7.0
61,2021-01-26 22:38:04,https://twitter.com/minyoruminyon/status/1354061042574389248,blacknon_,8.0,3.0,5.0
62,2021-01-26 20:35:33,https://twitter.com/minyoruminyon/status/1354030211487023104,blacknon_,11.0,4.0,7.0
63,2021-01-22 09:40:17,https://twitter.com/minyoruminyon/status/1352415757146046465,blacknon_,4.0,1.0,3.0
64,2021-01-22 09:35:19,https://twitter.com/minyoruminyon/status/1352414507222528001,blacknon_,5.0,2.0,3.0
65,2021-01-07 20:10:20,https://twitter.com/minyoruminyon/status/1347138493739200515,blacknon_,4.0,1.0,3.0
66,2021-01-05 15:25:04,https://twitter.com/minyoruminyon/status/1346341930888691712,blacknon_,2.0,1.0,1.0
