,Date,URL,User,R+L,Retweets,Likes
0,2021-05-12 03:06:32,https://twitter.com/minyoruminyon/status/1392179328893341699,honapay5208,0.0,0.0,0.0
1,2021-05-12 02:57:04,https://twitter.com/minyoruminyon/status/1392176948965634052,honapay5208,0.0,0.0,0.0
2,2021-05-12 02:54:07,https://twitter.com/minyoruminyon/status/1392176203772006400,honapay5208,0.0,0.0,0.0
3,2021-05-12 02:53:17,https://twitter.com/minyoruminyon/status/1392175997085130754,honapay5208,0.0,0.0,0.0
4,2021-05-12 02:43:25,https://twitter.com/minyoruminyon/status/1392173514572980224,honapay5208,1.0,0.0,1.0
5,2021-05-12 02:42:02,https://twitter.com/minyoruminyon/status/1392173163979542530,honapay5208,0.0,0.0,0.0
6,2021-05-12 02:41:23,https://twitter.com/minyoruminyon/status/1392173000800178176,honapay5208,1.0,1.0,0.0
7,2021-03-27 18:44:13,https://twitter.com/minyoruminyon/status/1375745466290200577,honapay5208,1.0,0.0,1.0
8,2021-03-27 18:34:44,https://twitter.com/minyoruminyon/status/1375743079605362688,honapay5208,0.0,0.0,0.0
9,2021-03-27 18:33:39,https://twitter.com/minyoruminyon/status/1375742806690439170,honapay5208,0.0,0.0,0.0
10,2021-03-27 18:32:23,https://twitter.com/minyoruminyon/status/1375742485796773890,honapay5208,0.0,0.0,0.0
11,2020-08-25 02:38:56,https://twitter.com/minyoruminyon/status/1297951539634479105,honapay5208,0.0,0.0,0.0
12,2020-08-25 02:38:11,https://twitter.com/minyoruminyon/status/1297951350202855424,honapay5208,0.0,0.0,0.0
13,2020-04-22 00:25:14,https://twitter.com/minyoruminyon/status/1252619408410738688,honapay5208,5.0,1.0,4.0
14,2019-10-12 22:08:52,https://twitter.com/minyoruminyon/status/1183006622655770624,honapay5208,0.0,0.0,0.0
