,Date,URL,User,R+L,Retweets,Likes
0,2020-01-31 08:08:28,https://twitter.com/minyoruminyon/status/1223020182454423553,mag0k0romi7,0.0,0.0,0.0
1,2020-01-29 22:40:42,https://twitter.com/minyoruminyon/status/1222514910719950854,mag0k0romi7,5.0,2.0,3.0
2,2020-01-29 22:37:27,https://twitter.com/minyoruminyon/status/1222514091245232129,mag0k0romi7,1.0,0.0,1.0
3,2020-01-29 22:35:31,https://twitter.com/minyoruminyon/status/1222513604961828864,mag0k0romi7,2.0,0.0,2.0
4,2020-01-29 22:32:46,https://twitter.com/minyoruminyon/status/1222512914629660672,mag0k0romi7,3.0,2.0,1.0
5,2020-01-29 19:05:49,https://twitter.com/minyoruminyon/status/1222460831700414464,mag0k0romi7,2.0,1.0,1.0
6,2020-01-29 18:52:18,https://twitter.com/minyoruminyon/status/1222457430707032065,mag0k0romi7,2.0,0.0,2.0
7,2020-01-29 18:48:21,https://twitter.com/minyoruminyon/status/1222456439177797632,mag0k0romi7,0.0,0.0,0.0
8,2020-01-29 17:29:39,https://twitter.com/minyoruminyon/status/1222436630172012544,mag0k0romi7,1.0,1.0,0.0
9,2020-01-29 17:25:01,https://twitter.com/minyoruminyon/status/1222435464134545409,mag0k0romi7,7.0,3.0,4.0
