,Date,URL,User,R+L,Retweets,Likes
0,2021-07-07 10:57:55,https://twitter.com/minyoruminyon/status/1412591677978546176,narnarna9999,1.0,1.0,0.0
1,2021-05-11 15:15:59,https://twitter.com/minyoruminyon/status/1392000513395200001,narnarna9999,3.0,1.0,2.0
2,2020-02-18 21:03:47,https://twitter.com/minyoruminyon/status/1229738276191211521,narnarna9999,2.0,1.0,1.0
3,2020-01-11 22:53:07,https://twitter.com/minyoruminyon/status/1215995054428262401,narnarna9999,4.0,1.0,3.0
4,2020-01-11 22:45:29,https://twitter.com/minyoruminyon/status/1215993132476616704,narnarna9999,8.0,4.0,4.0
5,2019-09-09 18:01:04,https://twitter.com/minyoruminyon/status/1170985461751283712,narnarna9999,2.0,1.0,1.0
6,2019-08-29 21:48:06,https://twitter.com/minyoruminyon/status/1167056330416414720,narnarna9999,5.0,1.0,4.0
7,2019-07-23 23:32:59,https://twitter.com/minyoruminyon/status/1153674373561114624,narnarna9999,3.0,1.0,2.0
8,2019-07-20 13:40:39,https://twitter.com/minyoruminyon/status/1152438143787782144,narnarna9999,4.0,2.0,2.0
9,2019-07-20 13:37:30,https://twitter.com/minyoruminyon/status/1152437351706050560,narnarna9999,2.0,1.0,1.0
10,2019-07-19 20:49:51,https://twitter.com/minyoruminyon/status/1152183767135424512,narnarna9999,7.0,1.0,6.0
