,Date,URL,User,R+L,Retweets,Likes
0,2020-02-04 21:32:42,https://twitter.com/minyoruminyon/status/1224672125211987968,nnn1590,1.0,0.0,1.0
1,2019-08-26 23:33:42,https://twitter.com/minyoruminyon/status/1165995741946380288,nnn1590,1.0,0.0,1.0
2,2019-08-26 23:31:34,https://twitter.com/minyoruminyon/status/1165995203989139457,nnn1590,1.0,0.0,1.0
3,2019-08-26 23:29:11,https://twitter.com/minyoruminyon/status/1165994605273157634,nnn1590,1.0,0.0,1.0
4,2019-08-26 23:28:47,https://twitter.com/minyoruminyon/status/1165994505687842816,nnn1590,1.0,0.0,1.0
5,2019-08-26 22:46:17,https://twitter.com/minyoruminyon/status/1165983810430726144,nnn1590,3.0,1.0,2.0
6,2019-08-26 22:40:49,https://twitter.com/minyoruminyon/status/1165982431310016513,nnn1590,4.0,1.0,3.0
7,2019-08-26 02:11:07,https://twitter.com/minyoruminyon/status/1165672969625993216,nnn1590,1.0,0.0,1.0
8,2019-08-26 02:07:50,https://twitter.com/minyoruminyon/status/1165672142567952386,nnn1590,1.0,0.0,1.0
9,2019-08-08 03:21:59,https://twitter.com/minyoruminyon/status/1159167819117785088,nnn1590,5.0,2.0,3.0
10,2019-08-08 03:20:20,https://twitter.com/minyoruminyon/status/1159167407279108096,nnn1590,3.0,1.0,2.0
11,2019-08-07 15:22:31,https://twitter.com/minyoruminyon/status/1158986762061877248,nnn1590,1.0,0.0,1.0
12,2019-08-05 22:35:20,https://twitter.com/minyoruminyon/status/1158370906474872832,nnn1590,1.0,0.0,1.0
13,2019-08-05 22:32:46,https://twitter.com/minyoruminyon/status/1158370263047610369,nnn1590,1.0,0.0,1.0
14,2019-08-05 22:31:49,https://twitter.com/minyoruminyon/status/1158370023469023232,nnn1590,2.0,0.0,2.0
15,2019-07-29 19:39:27,https://twitter.com/minyoruminyon/status/1155789931538599938,nnn1590,1.0,0.0,1.0
16,2019-07-29 19:04:12,https://twitter.com/minyoruminyon/status/1155781061038624768,nnn1590,1.0,0.0,1.0
17,2019-07-29 01:21:54,https://twitter.com/minyoruminyon/status/1155513720656687104,nnn1590,2.0,0.0,2.0
18,2019-07-29 01:13:57,https://twitter.com/minyoruminyon/status/1155511721311666176,nnn1590,1.0,0.0,1.0
19,2019-07-28 18:39:03,https://twitter.com/minyoruminyon/status/1155412341384572928,nnn1590,1.0,0.0,1.0
20,2019-07-25 17:23:21,https://twitter.com/minyoruminyon/status/1154306126269206529,nnn1590,1.0,0.0,1.0
21,2019-07-25 17:16:49,https://twitter.com/minyoruminyon/status/1154304484283039744,nnn1590,1.0,0.0,1.0
22,2019-07-25 17:15:18,https://twitter.com/minyoruminyon/status/1154304101565358080,nnn1590,1.0,0.0,1.0
23,2019-07-25 17:11:32,https://twitter.com/minyoruminyon/status/1154303153849819136,nnn1590,1.0,0.0,1.0
24,2019-07-25 17:04:58,https://twitter.com/minyoruminyon/status/1154301500882997250,nnn1590,3.0,0.0,3.0
25,2019-07-25 16:55:01,https://twitter.com/minyoruminyon/status/1154298995507732480,nnn1590,2.0,0.0,2.0
26,2019-07-25 16:54:01,https://twitter.com/minyoruminyon/status/1154298745808289793,nnn1590,2.0,0.0,2.0
27,2019-07-25 16:53:45,https://twitter.com/minyoruminyon/status/1154298677613092864,nnn1590,1.0,0.0,1.0
28,2019-07-24 17:03:19,https://twitter.com/minyoruminyon/status/1153938698330763264,nnn1590,1.0,0.0,1.0
29,2019-07-21 13:52:55,https://twitter.com/minyoruminyon/status/1152803620150099968,nnn1590,2.0,0.0,2.0
30,2019-07-21 13:41:54,https://twitter.com/minyoruminyon/status/1152800848231067650,nnn1590,1.0,0.0,1.0
31,2019-07-21 13:40:14,https://twitter.com/minyoruminyon/status/1152800427940859905,nnn1590,1.0,0.0,1.0
32,2019-07-21 13:35:30,https://twitter.com/minyoruminyon/status/1152799237484105729,nnn1590,7.0,1.0,6.0
33,2019-07-19 19:53:22,https://twitter.com/minyoruminyon/status/1152169553738080257,nnn1590,3.0,1.0,2.0
34,2019-07-19 04:33:00,https://twitter.com/minyoruminyon/status/1151937935140241408,nnn1590,1.0,0.0,1.0
35,2019-07-19 04:22:25,https://twitter.com/minyoruminyon/status/1151935271736246272,nnn1590,1.0,0.0,1.0
36,2019-07-19 04:18:08,https://twitter.com/minyoruminyon/status/1151934195217793024,nnn1590,1.0,0.0,1.0
37,2019-07-19 04:10:42,https://twitter.com/minyoruminyon/status/1151932323484409856,nnn1590,1.0,0.0,1.0
38,2019-07-19 04:01:34,https://twitter.com/minyoruminyon/status/1151930026947825665,nnn1590,1.0,0.0,1.0
39,2019-07-18 22:54:28,https://twitter.com/minyoruminyon/status/1151852739237830656,nnn1590,1.0,0.0,1.0
40,2019-07-18 22:18:01,https://twitter.com/minyoruminyon/status/1151843566387224579,nnn1590,2.0,0.0,2.0
41,2019-07-17 21:28:16,https://twitter.com/minyoruminyon/status/1151468661422510081,nnn1590,1.0,0.0,1.0
42,2019-07-17 21:26:51,https://twitter.com/minyoruminyon/status/1151468302335524864,nnn1590,1.0,0.0,1.0
43,2019-07-17 21:25:23,https://twitter.com/minyoruminyon/status/1151467936424452096,nnn1590,2.0,0.0,2.0
44,2019-07-17 21:23:58,https://twitter.com/minyoruminyon/status/1151467576196681737,nnn1590,1.0,0.0,1.0
