,Date,URL,User,R+L,Retweets,Likes
0,2020-02-25 15:42:15,https://twitter.com/minyoruminyon/status/1232194076587356160,tyawanmusi256,0.0,0.0,0.0
1,2020-02-12 20:45:45,https://twitter.com/minyoruminyon/status/1227559412211961857,tyawanmusi256,3.0,1.0,2.0
2,2020-02-12 20:44:20,https://twitter.com/minyoruminyon/status/1227559057164140546,tyawanmusi256,2.0,1.0,1.0
3,2020-02-12 20:43:29,https://twitter.com/minyoruminyon/status/1227558843132940288,tyawanmusi256,3.0,1.0,2.0
4,2020-02-12 20:41:21,https://twitter.com/minyoruminyon/status/1227558305293168640,tyawanmusi256,3.0,1.0,2.0
5,2020-02-12 02:49:20,https://twitter.com/minyoruminyon/status/1227288523704684544,tyawanmusi256,9.0,3.0,6.0
6,2020-01-29 22:07:45,https://twitter.com/minyoruminyon/status/1222506617180016640,tyawanmusi256,57.0,20.0,37.0
7,2020-01-29 00:48:22,https://twitter.com/minyoruminyon/status/1222184650468020230,tyawanmusi256,14.0,4.0,10.0
8,2020-01-29 00:46:52,https://twitter.com/minyoruminyon/status/1222184271613317120,tyawanmusi256,13.0,5.0,8.0
9,2019-09-05 19:11:24,https://twitter.com/minyoruminyon/status/1169553611115753472,tyawanmusi256,1.0,0.0,1.0
